"CD","ND","DESTINO","NACION","HOMBRES","MUJERES","TOTAL"
" 00","TOTAL MUNICIPIO","- TODOS -","ESPAÑOLES",7090,7217,14307
" 00","TOTAL MUNICIPIO","- TODOS -","EXTRANJEROS",997,1097,2094
" 00","TOTAL MUNICIPIO","- TODOS -","NO CONSTA",3,6,9
" 00","TOTAL MUNICIPIO","- TODOS -","TOTAL POBLACION",8090,8320,16410
" 01","CASCO ANTIGUO","- TODOS -","ESPAÑOLES",707,738,1445
" 01","CASCO ANTIGUO","- TODOS -","EXTRANJEROS",107,117,224
" 01","CASCO ANTIGUO","- TODOS -","TOTAL POBLACION",814,855,1669
" 01","CASCO ANTIGUO","ALBACETE","ESPAÑOLES",3,4,7
" 01","CASCO ANTIGUO","ALBACETE","TOTAL POBLACION",3,4,7
" 01","CASCO ANTIGUO","ALICANTE","ESPAÑOLES",2,3,5
" 01","CASCO ANTIGUO","ALICANTE","EXTRANJEROS",2,1,3
" 01","CASCO ANTIGUO","ALICANTE","TOTAL POBLACION",4,4,8
" 01","CASCO ANTIGUO","ALMERIA","ESPAÑOLES",4,7,11
" 01","CASCO ANTIGUO","ALMERIA","TOTAL POBLACION",4,7,11
" 01","CASCO ANTIGUO","ARABA/ALAVA","ESPAÑOLES",0,1,1
" 01","CASCO ANTIGUO","ARABA/ALAVA","TOTAL POBLACION",0,1,1
" 01","CASCO ANTIGUO","ASTURIAS","ESPAÑOLES",5,6,11
" 01","CASCO ANTIGUO","ASTURIAS","TOTAL POBLACION",5,6,11
" 01","CASCO ANTIGUO","AVILA","ESPAÑOLES",1,1,2
" 01","CASCO ANTIGUO","AVILA","TOTAL POBLACION",1,1,2
" 01","CASCO ANTIGUO","BADAJOZ","ESPAÑOLES",6,12,18
" 01","CASCO ANTIGUO","BADAJOZ","EXTRANJEROS",0,3,3
" 01","CASCO ANTIGUO","BADAJOZ","TOTAL POBLACION",6,15,21
" 01","CASCO ANTIGUO","BALEARES","ESPAÑOLES",18,18,36
" 01","CASCO ANTIGUO","BALEARES","EXTRANJEROS",5,3,8
" 01","CASCO ANTIGUO","BALEARES","TOTAL POBLACION",23,21,44
" 01","CASCO ANTIGUO","BARCELONA","ESPAÑOLES",20,24,44
