"CD","ND","DESTINO","NACION","HOMBRES","MUJERES","TOTAL"
" 00","TOTAL MUNICIPIO","- TODOS -","ESPAÑOLES",7060,7317,14377
" 00","TOTAL MUNICIPIO","- TODOS -","EXTRANJEROS",1027,1221,2248
" 00","TOTAL MUNICIPIO","- TODOS -","NO CONSTA",5,3,8
" 00","TOTAL MUNICIPIO","- TODOS -","TOTAL POBLACION",8092,8541,16633
" 01","CASCO ANTIGUO","- TODOS -","ESPAÑOLES",685,736,1421
" 01","CASCO ANTIGUO","- TODOS -","EXTRANJEROS",109,125,234
" 01","CASCO ANTIGUO","- TODOS -","TOTAL POBLACION",794,861,1655
" 01","CASCO ANTIGUO","ALBACETE","ESPAÑOLES",1,0,1
" 01","CASCO ANTIGUO","ALBACETE","TOTAL POBLACION",1,0,1
" 01","CASCO ANTIGUO","ALICANTE","ESPAÑOLES",2,4,6
" 01","CASCO ANTIGUO","ALICANTE","EXTRANJEROS",1,0,1
" 01","CASCO ANTIGUO","ALICANTE","TOTAL POBLACION",3,4,7
" 01","CASCO ANTIGUO","ALMERIA","ESPAÑOLES",4,4,8
" 01","CASCO ANTIGUO","ALMERIA","EXTRANJEROS",2,1,3
" 01","CASCO ANTIGUO","ALMERIA","TOTAL POBLACION",6,5,11
" 01","CASCO ANTIGUO","ARABA/ALAVA","ESPAÑOLES",0,2,2
" 01","CASCO ANTIGUO","ARABA/ALAVA","EXTRANJEROS",1,0,1
" 01","CASCO ANTIGUO","ARABA/ALAVA","TOTAL POBLACION",1,2,3
" 01","CASCO ANTIGUO","ASTURIAS","ESPAÑOLES",1,3,4
" 01","CASCO ANTIGUO","ASTURIAS","TOTAL POBLACION",1,3,4
" 01","CASCO ANTIGUO","AVILA","ESPAÑOLES",3,2,5
" 01","CASCO ANTIGUO","AVILA","TOTAL POBLACION",3,2,5
" 01","CASCO ANTIGUO","BADAJOZ","ESPAÑOLES",11,11,22
" 01","CASCO ANTIGUO","BADAJOZ","EXTRANJEROS",1,0,1
" 01","CASCO ANTIGUO","BADAJOZ","TOTAL POBLACION",12,11,23
" 01","CASCO ANTIGUO","BALEARES","ESPAÑOLES",9,7,16
" 01","CASCO ANTIGUO","BALEARES","EXTRANJEROS",3,1,4
" 01","CASCO ANTIGUO","BALEARES","TOTAL POBLACION",12,8,20
" 01","CASCO ANTIGUO","BARCELONA","ESPAÑOLES",22,22,44
" 01","CASCO ANTIGUO","BARCELONA","EXTRANJEROS",9,15,24
" 01","CASCO ANTIGUO","BARCELONA","TOTAL POBLACION",31,37,68
" 01","CASCO ANTIGUO","BIZKAIA","ESPAÑOLES",4,11,15
" 01","CASCO ANTIGUO","BIZKAIA","TOTAL POBLACION",4,11,15
" 01","CASCO ANTIGUO","BURGOS","ESPAÑOLES",1,0,1
" 01","CASCO ANTIGUO","BURGOS","EXTRANJEROS",0,1,1
" 01","CASCO ANTIGUO","BURGOS","TOTAL POBLACION",1,1,2
" 01","CASCO ANTIGUO","CACERES","ESPAÑOLES",3,2,5
" 01","CASCO ANTIGUO","CACERES","EXTRANJEROS",3,0,3
" 01","CASCO ANTIGUO","CACERES","TOTAL POBLACION",6,2,8
" 01","CASCO ANTIGUO","CADIZ","ESPAÑOLES",44,61,105
" 01","CASCO ANTIGUO","CADIZ","EXTRANJEROS",5,6,11
" 01","CASCO ANTIGUO","CADIZ","TOTAL POBLACION",49,67,116
" 01","CASCO ANTIGUO","CANTABRIA","ESPAÑOLES",2,1,3
" 01","CASCO ANTIGUO","CANTABRIA","EXTRANJEROS",1,1,2
" 01","CASCO ANTIGUO","CANTABRIA","TOTAL POBLACION",3,2,5
" 01","CASCO ANTIGUO","CASTELLON","ESPAÑOLES",2,2,4
" 01","CASCO ANTIGUO","CASTELLON","EXTRANJEROS",0,1,1
" 01","CASCO ANTIGUO","CASTELLON","TOTAL POBLACION",2,3,5
" 01","CASCO ANTIGUO","CEUTA","ESPAÑOLES",6,3,9
" 01","CASCO ANTIGUO","CEUTA","TOTAL POBLACION",6,3,9
" 01","CASCO ANTIGUO","CIUDAD REAL","ESPAÑOLES",2,1,3
" 01","CASCO ANTIGUO","CIUDAD REAL","TOTAL POBLACION",2,1,3
" 01","CASCO ANTIGUO","CORDOBA","ESPAÑOLES",7,11,18
" 01","CASCO ANTIGUO","CORDOBA","EXTRANJEROS",1,3,4
" 01","CASCO ANTIGUO","CORDOBA","TOTAL POBLACION",8,14,22
" 01","CASCO ANTIGUO","CUENCA","EXTRANJEROS",1,0,1
" 01","CASCO ANTIGUO","CUENCA","TOTAL POBLACION",1,0,1
" 01","CASCO ANTIGUO","EXTRAJERO","ESPAÑOLES",70,76,146
" 01","CASCO ANTIGUO","EXTRAJERO","EXTRANJEROS",19,17,36
" 01","CASCO ANTIGUO","EXTRAJERO","TOTAL POBLACION",89,93,182
" 01","CASCO ANTIGUO","GERONA","ESPAÑOLES",0,1,1
" 01","CASCO ANTIGUO","GERONA","TOTAL POBLACION",0,1,1
" 01","CASCO ANTIGUO","GIPUZKOA","ESPAÑOLES",2,4,6
" 01","CASCO ANTIGUO","GIPUZKOA","EXTRANJEROS",5,2,7
" 01","CASCO ANTIGUO","GIPUZKOA","TOTAL POBLACION",7,6,13
" 01","CASCO ANTIGUO","GRANADA","ESPAÑOLES",7,17,24
" 01","CASCO ANTIGUO","GRANADA","EXTRANJEROS",2,3,5
" 01","CASCO ANTIGUO","GRANADA","TOTAL POBLACION",9,20,29
" 01","CASCO ANTIGUO","GUADALAJARA","ESPAÑOLES",1,0,1
" 01","CASCO ANTIGUO","GUADALAJARA","TOTAL POBLACION",1,0,1
" 01","CASCO ANTIGUO","HUELVA","ESPAÑOLES",47,32,79
" 01","CASCO ANTIGUO","HUELVA","EXTRANJEROS",3,1,4
" 01","CASCO ANTIGUO","HUELVA","TOTAL POBLACION",50,33,83
