"DESTINO";"NACION";"HOMBRES";"MUJERES";"TOTAL"
"- TODOS -";"ESPAÑOLES";7255;7227;14482
"- TODOS -";"EXTRANJEROS";1266;1576;2842
"- TODOS -";"NO CONSTA";7;3;10
"- TODOS -";"TOTAL POBLACION";8528;8806;17334
"ALBACETE";"ESPAÑOLES";9;5;14
"ALBACETE";"EXTRANJEROS";5;1;6
"ALBACETE";"TOTAL POBLACION";14;6;20
"ALICANTE";"ESPAÑOLES";30;31;61
"ALICANTE";"EXTRANJEROS";21;23;44
"ALICANTE";"TOTAL POBLACION";51;54;105
"ALMERIA";"ESPAÑOLES";46;39;85
"ALMERIA";"EXTRANJEROS";16;22;38
"ALMERIA";"TOTAL POBLACION";62;61;123
"ARABA/ALAVA";"ESPAÑOLES";6;11;17
"ARABA/ALAVA";"EXTRANJEROS";12;7;19
"ARABA/ALAVA";"TOTAL POBLACION";18;18;36
"ASTURIAS";"ESPAÑOLES";16;18;34
"ASTURIAS";"EXTRANJEROS";6;4;10
"ASTURIAS";"TOTAL POBLACION";22;22;44
"AVILA";"ESPAÑOLES";3;1;4
"AVILA";"EXTRANJEROS";5;5;10
"AVILA";"TOTAL POBLACION";8;6;14
"BADAJOZ";"ESPAÑOLES";100;131;231
"BADAJOZ";"EXTRANJEROS";13;33;46
"BADAJOZ";"TOTAL POBLACION";113;164;277
"BALEARES";"ESPAÑOLES";85;78;163
"BALEARES";"EXTRANJEROS";26;25;51
"BALEARES";"TOTAL POBLACION";111;103;214
"BARCELONA";"ESPAÑOLES";126;109;235
"BARCELONA";"EXTRANJEROS";74;102;176
"BARCELONA";"NO CONSTA";1;0;1
"BARCELONA";"TOTAL POBLACION";201;211;412
"BIZKAIA";"ESPAÑOLES";17;30;47
"BIZKAIA";"EXTRANJEROS";11;13;24
"BIZKAIA";"NO CONSTA";1;0;1
"BIZKAIA";"TOTAL POBLACION";29;43;72
"BURGOS";"ESPAÑOLES";4;2;6
"BURGOS";"EXTRANJEROS";5;3;8
"BURGOS";"TOTAL POBLACION";9;5;14
"CACERES";"ESPAÑOLES";19;20;39
"CACERES";"EXTRANJEROS";2;3;5
"CACERES";"TOTAL POBLACION";21;23;44
"CADIZ";"ESPAÑOLES";549;547;1096
"CADIZ";"EXTRANJEROS";53;73;126
"CADIZ";"NO CONSTA";1;0;1
"CADIZ";"TOTAL POBLACION";603;620;1223
"CANTABRIA";"ESPAÑOLES";17;14;31
"CANTABRIA";"EXTRANJEROS";5;8;13
