"DESTINO";"NACION";"HOMBRES";"MUJERES";"TOTAL"
"CANTABRIA";"TOTAL POBLACION";22;22;44
"CASTELLON";"ESPAÑOLES";12;13;25
"CASTELLON";"EXTRANJEROS";3;11;14
"CASTELLON";"TOTAL POBLACION";15;24;39
"CEUTA";"ESPAÑOLES";23;10;33
"CEUTA";"EXTRANJEROS";2;1;3
"CEUTA";"TOTAL POBLACION";25;11;36
"CIUDAD REAL";"ESPAÑOLES";12;15;27
"CIUDAD REAL";"EXTRANJEROS";11;13;24
"CIUDAD REAL";"TOTAL POBLACION";23;28;51
"CORDOBA";"ESPAÑOLES";90;91;181
"CORDOBA";"EXTRANJEROS";14;27;41
"CORDOBA";"NO CONSTA";1;0;1
"CORDOBA";"TOTAL POBLACION";105;118;223
"CUENCA";"ESPAÑOLES";8;6;14
"CUENCA";"EXTRANJEROS";2;5;7
"CUENCA";"TOTAL POBLACION";10;11;21
"EXTRAJERO";"ESPAÑOLES";357;293;650
"EXTRAJERO";"EXTRANJEROS";32;48;80
"EXTRAJERO";"TOTAL POBLACION";389;341;730
"GERONA";"ESPAÑOLES";8;9;17
"GERONA";"EXTRANJEROS";7;7;14
"GERONA";"TOTAL POBLACION";15;16;31
"GIPUZKOA";"ESPAÑOLES";15;17;32
"GIPUZKOA";"EXTRANJEROS";9;18;27
"GIPUZKOA";"TOTAL POBLACION";24;35;59
"GRANADA";"ESPAÑOLES";88;84;172
"GRANADA";"EXTRANJEROS";29;32;61
"GRANADA";"TOTAL POBLACION";117;116;233
"GUADALAJARA";"ESPAÑOLES";10;1;11
"GUADALAJARA";"EXTRANJEROS";4;8;12
"GUADALAJARA";"TOTAL POBLACION";14;9;23
"HUELVA";"ESPAÑOLES";420;421;841
"HUELVA";"EXTRANJEROS";67;92;159
"HUELVA";"NO CONSTA";1;0;1
"HUELVA";"TOTAL POBLACION";488;513;1001
"HUESCA";"ESPAÑOLES";5;4;9
"HUESCA";"EXTRANJEROS";3;2;5
"HUESCA";"TOTAL POBLACION";8;6;14
"JAEN";"ESPAÑOLES";32;46;78
"JAEN";"EXTRANJEROS";11;9;20
"JAEN";"TOTAL POBLACION";43;55;98
"LA CORUÑA";"ESPAÑOLES";16;22;38
"LA CORUÑA";"EXTRANJEROS";9;8;17
"LA CORUÑA";"NO CONSTA";1;0;1
"LA CORUÑA";"TOTAL POBLACION";26;30;56
"LA RIOJA";"ESPAÑOLES";10;10;20
"LA RIOJA";"EXTRANJEROS";0;3;3
"LA RIOJA";"TOTAL POBLACION";10;13;23
"LAS PALMAS";"ESPAÑOLES";91;91;182
"LAS PALMAS";"EXTRANJEROS";13;15;28
"LAS PALMAS";"TOTAL POBLACION";104;106;210
"LEON";"ESPAÑOLES";13;9;22
"LEON";"EXTRANJEROS";1;4;5
"LEON";"TOTAL POBLACION";14;13;27
"LLEIDA";"ESPAÑOLES";6;2;8
"LLEIDA";"EXTRANJEROS";9;7;16
"LLEIDA";"NO CONSTA";0;1;1
"LLEIDA";"TOTAL POBLACION";15;10;25
"LUGO";"ESPAÑOLES";2;8;10
"LUGO";"EXTRANJEROS";4;4;8
"LUGO";"TOTAL POBLACION";6;12;18
"MADRID";"ESPAÑOLES";393;368;761
"MADRID";"EXTRANJEROS";120;137;257
"MADRID";"TOTAL POBLACION";513;505;1018
"MALAGA";"ESPAÑOLES";192;192;384
"MALAGA";"EXTRANJEROS";61;78;139
"MALAGA";"TOTAL POBLACION";253;270;523
"MELILLA";"ESPAÑOLES";19;10;29
"MELILLA";"EXTRANJEROS";2;4;6
"MELILLA";"TOTAL POBLACION";21;14;35
"MURCIA";"ESPAÑOLES";24;21;45
"MURCIA";"EXTRANJEROS";34;23;57
"MURCIA";"TOTAL POBLACION";58;44;102
"NAVARRA";"ESPAÑOLES";10;13;23
"NAVARRA";"EXTRANJEROS";8;12;20
"NAVARRA";"TOTAL POBLACION";18;25;43
"ORENSE";"ESPAÑOLES";4;4;8
"ORENSE";"EXTRANJEROS";1;4;5
"ORENSE";"TOTAL POBLACION";5;8;13
"PALENCIA";"ESPAÑOLES";1;4;5
"PALENCIA";"EXTRANJEROS";0;1;1
"PALENCIA";"TOTAL POBLACION";1;5;6
"PONTEVEDRA";"ESPAÑOLES";7;16;23
"PONTEVEDRA";"EXTRANJEROS";6;4;10
"PONTEVEDRA";"TOTAL POBLACION";13;20;33
"SALAMANCA";"ESPAÑOLES";7;9;16
"SALAMANCA";"EXTRANJEROS";1;3;4
"SALAMANCA";"TOTAL POBLACION";8;12;20
"SANTA CRUZ DE TENERIFE";"ESPAÑOLES";69;78;147
"SANTA CRUZ DE TENERIFE";"EXTRANJEROS";7;12;19
"SANTA CRUZ DE TENERIFE";"TOTAL POBLACION";76;90;166
"SEGOVIA";"ESPAÑOLES";4;1;5
"SEGOVIA";"EXTRANJEROS";0;7;7
"SEGOVIA";"TOTAL POBLACION";4;8;12
"SEVILLA";"ESPAÑOLES";4171;4202;8373
"SEVILLA";"EXTRANJEROS";442;587;1029
"SEVILLA";"NO CONSTA";1;2;3
"SEVILLA";"TOTAL POBLACION";4614;4791;9405
"SORIA";"ESPAÑOLES";4;1;5
"SORIA";"EXTRANJEROS";3;1;4
"SORIA";"TOTAL POBLACION";7;2;9
"TARRAGONA";"ESPAÑOLES";10;8;18
"TARRAGONA";"EXTRANJEROS";6;3;9
"TARRAGONA";"TOTAL POBLACION";16;11;27
"TERUEL";"ESPAÑOLES";1;3;4
"TERUEL";"EXTRANJEROS";1;0;1
"TERUEL";"TOTAL POBLACION";2;3;5
"TOLEDO";"ESPAÑOLES";15;26;41
"TOLEDO";"EXTRANJEROS";21;14;35
"TOLEDO";"TOTAL POBLACION";36;40;76
"VALENCIA";"ESPAÑOLES";41;42;83
"VALENCIA";"EXTRANJEROS";42;29;71
"VALENCIA";"TOTAL POBLACION";83;71;154
"VALLADOLID";"ESPAÑOLES";11;13;24
"VALLADOLID";"EXTRANJEROS";12;2;14
"VALLADOLID";"TOTAL POBLACION";23;15;38
"ZAMORA";"ESPAÑOLES";7;5;12
"ZAMORA";"EXTRANJEROS";0;5;5
"ZAMORA";"TOTAL POBLACION";7;10;17
"ZARAGOZA";"ESPAÑOLES";20;23;43
"ZARAGOZA";"EXTRANJEROS";15;14;29
"ZARAGOZA";"TOTAL POBLACION";35;37;72
