"CD","ND","DESTINO","NACION","HOMBRES","MUJERES","TOTAL"
" 00","TOTAL MUNICIPIO","- TODOS -","ESPAÑOLES",7312,7489,14801
" 00","TOTAL MUNICIPIO","- TODOS -","EXTRANJEROS",1104,1277,2381
" 00","TOTAL MUNICIPIO","- TODOS -","NO CONSTA",3,5,8
" 00","TOTAL MUNICIPIO","- TODOS -","TOTAL POBLACION",8419,8771,17190
" 01","CASCO ANTIGUO","- TODOS -","ESPAÑOLES",702,793,1495
" 01","CASCO ANTIGUO","- TODOS -","EXTRANJEROS",105,113,218
" 01","CASCO ANTIGUO","- TODOS -","NO CONSTA",1,1,2
" 01","CASCO ANTIGUO","- TODOS -","TOTAL POBLACION",808,907,1715
" 01","CASCO ANTIGUO","ALBACETE","ESPAÑOLES",1,2,3
" 01","CASCO ANTIGUO","ALBACETE","TOTAL POBLACION",1,2,3
" 01","CASCO ANTIGUO","ALICANTE","ESPAÑOLES",4,8,12
" 01","CASCO ANTIGUO","ALICANTE","EXTRANJEROS",2,2,4
" 01","CASCO ANTIGUO","ALICANTE","TOTAL POBLACION",6,10,16
" 01","CASCO ANTIGUO","ALMERIA","ESPAÑOLES",6,11,17
" 01","CASCO ANTIGUO","ALMERIA","EXTRANJEROS",0,1,1
" 01","CASCO ANTIGUO","ALMERIA","TOTAL POBLACION",6,12,18
" 01","CASCO ANTIGUO","ASTURIAS","ESPAÑOLES",3,7,10
" 01","CASCO ANTIGUO","ASTURIAS","EXTRANJEROS",2,1,3
" 01","CASCO ANTIGUO","ASTURIAS","TOTAL POBLACION",5,8,13
" 01","CASCO ANTIGUO","AVILA","ESPAÑOLES",0,2,2
" 01","CASCO ANTIGUO","AVILA","TOTAL POBLACION",0,2,2
" 01","CASCO ANTIGUO","BADAJOZ","ESPAÑOLES",17,19,36
" 01","CASCO ANTIGUO","BADAJOZ","EXTRANJEROS",1,0,1
" 01","CASCO ANTIGUO","BADAJOZ","TOTAL POBLACION",18,19,37
" 01","CASCO ANTIGUO","BALEARES","ESPAÑOLES",15,13,28
" 01","CASCO ANTIGUO","BALEARES","EXTRANJEROS",1,2,3
" 01","CASCO ANTIGUO","BALEARES","TOTAL POBLACION",16,15,31
" 01","CASCO ANTIGUO","BARCELONA","ESPAÑOLES",19,21,40
" 01","CASCO ANTIGUO","BARCELONA","EXTRANJEROS",8,7,15
" 01","CASCO ANTIGUO","BARCELONA","TOTAL POBLACION",27,28,55
" 01","CASCO ANTIGUO","BIZKAIA","ESPAÑOLES",3,4,7
" 01","CASCO ANTIGUO","BIZKAIA","EXTRANJEROS",1,2,3
" 01","CASCO ANTIGUO","BIZKAIA","TOTAL POBLACION",4,6,10
" 01","CASCO ANTIGUO","BURGOS","ESPAÑOLES",0,2,2
" 01","CASCO ANTIGUO","BURGOS","TOTAL POBLACION",0,2,2
" 01","CASCO ANTIGUO","CACERES","ESPAÑOLES",1,2,3
" 01","CASCO ANTIGUO","CACERES","TOTAL POBLACION",1,2,3
" 01","CASCO ANTIGUO","CADIZ","ESPAÑOLES",40,57,97
" 01","CASCO ANTIGUO","CADIZ","EXTRANJEROS",6,8,14
" 01","CASCO ANTIGUO","CADIZ","TOTAL POBLACION",46,65,111
" 01","CASCO ANTIGUO","CANTABRIA","ESPAÑOLES",3,3,6
" 01","CASCO ANTIGUO","CANTABRIA","EXTRANJEROS",3,2,5
" 01","CASCO ANTIGUO","CANTABRIA","TOTAL POBLACION",6,5,11
" 01","CASCO ANTIGUO","CASTELLON","ESPAÑOLES",2,1,3
" 01","CASCO ANTIGUO","CASTELLON","EXTRANJEROS",0,1,1
" 01","CASCO ANTIGUO","CASTELLON","TOTAL POBLACION",2,2,4
" 01","CASCO ANTIGUO","CEUTA","ESPAÑOLES",2,2,4
" 01","CASCO ANTIGUO","CEUTA","TOTAL POBLACION",2,2,4
" 01","CASCO ANTIGUO","CIUDAD REAL","ESPAÑOLES",4,1,5
" 01","CASCO ANTIGUO","CIUDAD REAL","TOTAL POBLACION",4,1,5
" 01","CASCO ANTIGUO","CORDOBA","ESPAÑOLES",7,12,19
" 01","CASCO ANTIGUO","CORDOBA","EXTRANJEROS",1,1,2
" 01","CASCO ANTIGUO","CORDOBA","TOTAL POBLACION",8,13,21
" 01","CASCO ANTIGUO","CUENCA","ESPAÑOLES",1,0,1
" 01","CASCO ANTIGUO","CUENCA","TOTAL POBLACION",1,0,1
" 01","CASCO ANTIGUO","EXTRAJERO","ESPAÑOLES",60,57,117
" 01","CASCO ANTIGUO","EXTRAJERO","EXTRANJEROS",11,9,20
" 01","CASCO ANTIGUO","EXTRAJERO","NO CONSTA",0,1,1
" 01","CASCO ANTIGUO","EXTRAJERO","TOTAL POBLACION",71,67,138
" 01","CASCO ANTIGUO","GERONA","ESPAÑOLES",0,1,1
" 01","CASCO ANTIGUO","GERONA","EXTRANJEROS",0,1,1
" 01","CASCO ANTIGUO","GERONA","TOTAL POBLACION",0,2,2
" 01","CASCO ANTIGUO","GIPUZKOA","ESPAÑOLES",5,1,6
" 01","CASCO ANTIGUO","GIPUZKOA","TOTAL POBLACION",5,1,6
" 01","CASCO ANTIGUO","GRANADA","ESPAÑOLES",18,22,40
" 01","CASCO ANTIGUO","GRANADA","EXTRANJEROS",3,4,7
" 01","CASCO ANTIGUO","GRANADA","TOTAL POBLACION",21,26,47
" 01","CASCO ANTIGUO","GUADALAJARA","ESPAÑOLES",0,1,1
" 01","CASCO ANTIGUO","GUADALAJARA","TOTAL POBLACION",0,1,1
" 01","CASCO ANTIGUO","HUELVA","ESPAÑOLES",40,45,85
" 01","CASCO ANTIGUO","HUELVA","EXTRANJEROS",6,6,12
" 01","CASCO ANTIGUO","HUELVA","TOTAL POBLACION",46,51,97
" 01","CASCO ANTIGUO","HUESCA","ESPAÑOLES",0,2,2
" 01","CASCO ANTIGUO","HUESCA","EXTRANJEROS",2,0,2
" 01","CASCO ANTIGUO","HUESCA","TOTAL POBLACION",2,2,4
" 01","CASCO ANTIGUO","JAEN","ESPAÑOLES",5,7,12
" 01","CASCO ANTIGUO","JAEN","TOTAL POBLACION",5,7,12
" 01","CASCO ANTIGUO","LA CORUÑA","ESPAÑOLES",1,2,3
" 01","CASCO ANTIGUO","LA CORUÑA","EXTRANJEROS",1,2,3
" 01","CASCO ANTIGUO","LA CORUÑA","TOTAL POBLACION",2,4,6
" 01","CASCO ANTIGUO","LAS PALMAS","ESPAÑOLES",5,16,21
