"CD","ND","DESTINO","NACION","HOMBRES","MUJERES","TOTAL"
" 01","CASCO ANTIGUO","1 - AREA METROPOLITANA","ESPAÑOLES",223,234,457
" 01","CASCO ANTIGUO","1 - AREA METROPOLITANA","EXTRANJEROS",21,20,41
" 01","CASCO ANTIGUO","1 - AREA METROPOLITANA","TOTAL POBLACION",244,254,498
" 01","CASCO ANTIGUO","2 - RESTO DE LA PROVINCIA","ESPAÑOLES",91,93,184
" 01","CASCO ANTIGUO","2 - RESTO DE LA PROVINCIA","EXTRANJEROS",3,10,13
" 01","CASCO ANTIGUO","2 - RESTO DE LA PROVINCIA","TOTAL POBLACION",94,103,197
" 01","CASCO ANTIGUO","3 - RESTO DE ANDALUCIA","ESPAÑOLES",151,180,331
" 01","CASCO ANTIGUO","3 - RESTO DE ANDALUCIA","EXTRANJEROS",23,30,53
" 01","CASCO ANTIGUO","3 - RESTO DE ANDALUCIA","TOTAL POBLACION",174,210,384
" 01","CASCO ANTIGUO","4 - RESTO DE ESPAÑA","ESPAÑOLES",177,229,406
" 01","CASCO ANTIGUO","4 - RESTO DE ESPAÑA","EXTRANJEROS",47,44,91
" 01","CASCO ANTIGUO","4 - RESTO DE ESPAÑA","NO CONSTA",1,0,1
" 01","CASCO ANTIGUO","4 - RESTO DE ESPAÑA","TOTAL POBLACION",225,273,498
" 01","CASCO ANTIGUO","5 - EXTRANJERO","ESPAÑOLES",540,513,1053
" 01","CASCO ANTIGUO","5 - EXTRANJERO","EXTRANJEROS",99,81,180
" 01","CASCO ANTIGUO","5 - EXTRANJERO","NO CONSTA",0,9,9
" 01","CASCO ANTIGUO","5 - EXTRANJERO","TOTAL POBLACION",639,603,1242
" 01","CASCO ANTIGUO","6 - TODOS","ESPAÑOLES",702,793,1495
" 01","CASCO ANTIGUO","6 - TODOS","EXTRANJEROS",105,113,218
" 01","CASCO ANTIGUO","6 - TODOS","NO CONSTA",1,1,2
" 01","CASCO ANTIGUO","6 - TODOS","TOTAL POBLACION",808,907,1715
" 02","MACARENA","1 - AREA METROPOLITANA","ESPAÑOLES",248,262,510
" 02","MACARENA","1 - AREA METROPOLITANA","EXTRANJEROS",36,43,79
" 02","MACARENA","1 - AREA METROPOLITANA","NO CONSTA",1,0,1
" 02","MACARENA","1 - AREA METROPOLITANA","TOTAL POBLACION",285,305,590
" 02","MACARENA","2 - RESTO DE LA PROVINCIA","ESPAÑOLES",154,163,317
" 02","MACARENA","2 - RESTO DE LA PROVINCIA","EXTRANJEROS",31,33,64
" 02","MACARENA","2 - RESTO DE LA PROVINCIA","TOTAL POBLACION",185,196,381
" 02","MACARENA","3 - RESTO DE ANDALUCIA","ESPAÑOLES",129,139,268
" 02","MACARENA","3 - RESTO DE ANDALUCIA","EXTRANJEROS",33,50,83
" 02","MACARENA","3 - RESTO DE ANDALUCIA","TOTAL POBLACION",162,189,351
" 02","MACARENA","4 - RESTO DE ESPAÑA","ESPAÑOLES",208,203,411
" 02","MACARENA","4 - RESTO DE ESPAÑA","EXTRANJEROS",112,109,221
" 02","MACARENA","4 - RESTO DE ESPAÑA","NO CONSTA",0,1,1
" 02","MACARENA","4 - RESTO DE ESPAÑA","TOTAL POBLACION",320,313,633
" 02","MACARENA","5 - EXTRANJERO","ESPAÑOLES",675,747,1422
" 02","MACARENA","5 - EXTRANJERO","EXTRANJEROS",81,135,216
" 02","MACARENA","5 - EXTRANJERO","TOTAL POBLACION",756,882,1638
" 02","MACARENA","6 - TODOS","ESPAÑOLES",814,850,1664
" 02","MACARENA","6 - TODOS","EXTRANJEROS",221,250,471
" 02","MACARENA","6 - TODOS","NO CONSTA",1,1,2
" 02","MACARENA","6 - TODOS","TOTAL POBLACION",1036,1101,2137
" 03","NERVION","1 - AREA METROPOLITANA","ESPAÑOLES",142,155,297
" 03","NERVION","1 - AREA METROPOLITANA","EXTRANJEROS",10,17,27
" 03","NERVION","1 - AREA METROPOLITANA","TOTAL POBLACION",152,172,324
" 03","NERVION","2 - RESTO DE LA PROVINCIA","ESPAÑOLES",67,77,144
" 03","NERVION","2 - RESTO DE LA PROVINCIA","EXTRANJEROS",3,4,7
" 03","NERVION","2 - RESTO DE LA PROVINCIA","TOTAL POBLACION",70,81,151
" 03","NERVION","3 - RESTO DE ANDALUCIA","ESPAÑOLES",94,97,191
" 03","NERVION","3 - RESTO DE ANDALUCIA","EXTRANJEROS",9,7,16
" 03","NERVION","3 - RESTO DE ANDALUCIA","TOTAL POBLACION",103,104,207
" 03","NERVION","4 - RESTO DE ESPAÑA","ESPAÑOLES",169,169,338
" 03","NERVION","4 - RESTO DE ESPAÑA","EXTRANJEROS",26,32,58
" 03","NERVION","4 - RESTO DE ESPAÑA","TOTAL POBLACION",195,201,396
" 03","NERVION","5 - EXTRANJERO","ESPAÑOLES",387,315,702
" 03","NERVION","5 - EXTRANJERO","EXTRANJEROS",0,99,99
" 03","NERVION","5 - EXTRANJERO","TOTAL POBLACION",387,414,801
" 03","NERVION","6 - TODOS","ESPAÑOLES",515,533,1048
" 03","NERVION","6 - TODOS","EXTRANJEROS",48,71,119
" 03","NERVION","6 - TODOS","TOTAL POBLACION",563,604,1167
" 04","CERRO-AMATE","1 - AREA METROPOLITANA","ESPAÑOLES",309,293,602
" 04","CERRO-AMATE","1 - AREA METROPOLITANA","EXTRANJEROS",33,50,83
" 04","CERRO-AMATE","1 - AREA METROPOLITANA","TOTAL POBLACION",342,343,685
" 04","CERRO-AMATE","2 - RESTO DE LA PROVINCIA","ESPAÑOLES",172,175,347
" 04","CERRO-AMATE","2 - RESTO DE LA PROVINCIA","EXTRANJEROS",14,22,36
" 04","CERRO-AMATE","2 - RESTO DE LA PROVINCIA","TOTAL POBLACION",186,197,383
" 04","CERRO-AMATE","3 - RESTO DE ANDALUCIA","ESPAÑOLES",117,111,228
" 04","CERRO-AMATE","3 - RESTO DE ANDALUCIA","EXTRANJEROS",59,56,115
" 04","CERRO-AMATE","3 - RESTO DE ANDALUCIA","TOTAL POBLACION",176,167,343
" 04","CERRO-AMATE","4 - RESTO DE ESPAÑA","ESPAÑOLES",167,178,345
" 04","CERRO-AMATE","4 - RESTO DE ESPAÑA","EXTRANJEROS",97,119,216
" 04","CERRO-AMATE","4 - RESTO DE ESPAÑA","NO CONSTA",1,1,2
" 04","CERRO-AMATE","4 - RESTO DE ESPAÑA","TOTAL POBLACION",265,298,563
" 04","CERRO-AMATE","5 - EXTRANJERO","ESPAÑOLES",450,396,846
" 04","CERRO-AMATE","5 - EXTRANJERO","EXTRANJEROS",81,63,144
" 04","CERRO-AMATE","5 - EXTRANJERO","TOTAL POBLACION",531,459,990
" 04","CERRO-AMATE","6 - TODOS","ESPAÑOLES",815,801,1616
" 04","CERRO-AMATE","6 - TODOS","EXTRANJEROS",212,254,466
" 04","CERRO-AMATE","6 - TODOS","NO CONSTA",1,1,2
" 04","CERRO-AMATE","6 - TODOS","TOTAL POBLACION",1028,1056,2084
" 05","SUR","1 - AREA METROPOLITANA","ESPAÑOLES",268,263,531
" 05","SUR","1 - AREA METROPOLITANA","EXTRANJEROS",17,32,49
" 05","SUR","1 - AREA METROPOLITANA","NO CONSTA",0,1,1
" 05","SUR","1 - AREA METROPOLITANA","TOTAL POBLACION",285,296,581
" 05","SUR","2 - RESTO DE LA PROVINCIA","ESPAÑOLES",103,116,219
" 05","SUR","2 - RESTO DE LA PROVINCIA","EXTRANJEROS",9,16,25
" 05","SUR","2 - RESTO DE LA PROVINCIA","TOTAL POBLACION",112,132,244
" 05","SUR","3 - RESTO DE ANDALUCIA","ESPAÑOLES",128,133,261
" 05","SUR","3 - RESTO DE ANDALUCIA","EXTRANJEROS",15,20,35
" 05","SUR","3 - RESTO DE ANDALUCIA","TOTAL POBLACION",143,153,296
" 05","SUR","4 - RESTO DE ESPAÑA","ESPAÑOLES",258,218,476
" 05","SUR","4 - RESTO DE ESPAÑA","EXTRANJEROS",49,46,95
" 05","SUR","4 - RESTO DE ESPAÑA","TOTAL POBLACION",307,264,571
" 05","SUR","5 - EXTRANJERO","ESPAÑOLES",531,378,909
" 05","SUR","5 - EXTRANJERO","EXTRANJEROS",63,54,117
" 05","SUR","5 - EXTRANJERO","TOTAL POBLACION",594,432,1026
