"CD","ND","DESTINO","NACION","HOMBRES","MUJERES","TOTAL"
" 01","CASCO ANTIGUO","1 - AREA METROPOLITANA","ESPAÑOLES",216,225,441
" 01","CASCO ANTIGUO","1 - AREA METROPOLITANA","EXTRANJEROS",26,26,52
" 01","CASCO ANTIGUO","1 - AREA METROPOLITANA","NO CONSTA",0,3,3
" 01","CASCO ANTIGUO","1 - AREA METROPOLITANA","TOTAL POBLACION",242,254,496
" 01","CASCO ANTIGUO","2 - RESTO DE LA PROVINCIA","ESPAÑOLES",96,114,210
" 01","CASCO ANTIGUO","2 - RESTO DE LA PROVINCIA","EXTRANJEROS",4,16,20
" 01","CASCO ANTIGUO","2 - RESTO DE LA PROVINCIA","TOTAL POBLACION",100,130,230
" 01","CASCO ANTIGUO","3 - RESTO DE ANDALUCIA","ESPAÑOLES",156,177,333
" 01","CASCO ANTIGUO","3 - RESTO DE ANDALUCIA","EXTRANJEROS",22,30,52
" 01","CASCO ANTIGUO","3 - RESTO DE ANDALUCIA","TOTAL POBLACION",178,207,385
" 01","CASCO ANTIGUO","4 - RESTO DE ESPAÑA","ESPAÑOLES",205,221,426
" 01","CASCO ANTIGUO","4 - RESTO DE ESPAÑA","EXTRANJEROS",47,51,98
" 01","CASCO ANTIGUO","4 - RESTO DE ESPAÑA","TOTAL POBLACION",252,272,524
" 01","CASCO ANTIGUO","5 - EXTRANJERO","ESPAÑOLES",639,567,1206
" 01","CASCO ANTIGUO","5 - EXTRANJERO","EXTRANJEROS",63,117,180
" 01","CASCO ANTIGUO","5 - EXTRANJERO","TOTAL POBLACION",702,684,1386
" 01","CASCO ANTIGUO","6 - TODOS","ESPAÑOLES",744,800,1544
" 01","CASCO ANTIGUO","6 - TODOS","EXTRANJEROS",106,136,242
" 01","CASCO ANTIGUO","6 - TODOS","NO CONSTA",0,3,3
" 01","CASCO ANTIGUO","6 - TODOS","TOTAL POBLACION",850,939,1789
" 02","MACARENA","1 - AREA METROPOLITANA","ESPAÑOLES",250,260,510
" 02","MACARENA","1 - AREA METROPOLITANA","EXTRANJEROS",49,49,98
" 02","MACARENA","1 - AREA METROPOLITANA","TOTAL POBLACION",299,309,608
" 02","MACARENA","2 - RESTO DE LA PROVINCIA","ESPAÑOLES",164,165,329
" 02","MACARENA","2 - RESTO DE LA PROVINCIA","EXTRANJEROS",23,42,65
" 02","MACARENA","2 - RESTO DE LA PROVINCIA","NO CONSTA",1,0,1
" 02","MACARENA","2 - RESTO DE LA PROVINCIA","TOTAL POBLACION",188,207,395
" 02","MACARENA","3 - RESTO DE ANDALUCIA","ESPAÑOLES",165,133,298
" 02","MACARENA","3 - RESTO DE ANDALUCIA","EXTRANJEROS",31,44,75
" 02","MACARENA","3 - RESTO DE ANDALUCIA","TOTAL POBLACION",196,177,373
" 02","MACARENA","4 - RESTO DE ESPAÑA","ESPAÑOLES",182,207,389
" 02","MACARENA","4 - RESTO DE ESPAÑA","EXTRANJEROS",87,82,169
" 02","MACARENA","4 - RESTO DE ESPAÑA","NO CONSTA",1,1,2
" 02","MACARENA","4 - RESTO DE ESPAÑA","TOTAL POBLACION",270,290,560
" 02","MACARENA","5 - EXTRANJERO","ESPAÑOLES",522,477,999
" 02","MACARENA","5 - EXTRANJERO","EXTRANJEROS",396,225,621
" 02","MACARENA","5 - EXTRANJERO","TOTAL POBLACION",918,702,1620
" 02","MACARENA","6 - TODOS","ESPAÑOLES",819,818,1637
" 02","MACARENA","6 - TODOS","EXTRANJEROS",234,242,476
" 02","MACARENA","6 - TODOS","NO CONSTA",2,1,3
" 02","MACARENA","6 - TODOS","TOTAL POBLACION",1055,1061,2116
" 03","NERVION","1 - AREA METROPOLITANA","ESPAÑOLES",150,176,326
" 03","NERVION","1 - AREA METROPOLITANA","EXTRANJEROS",12,17,29
" 03","NERVION","1 - AREA METROPOLITANA","TOTAL POBLACION",162,193,355
" 03","NERVION","2 - RESTO DE LA PROVINCIA","ESPAÑOLES",64,97,161
" 03","NERVION","2 - RESTO DE LA PROVINCIA","EXTRANJEROS",6,8,14
" 03","NERVION","2 - RESTO DE LA PROVINCIA","TOTAL POBLACION",70,105,175
" 03","NERVION","3 - RESTO DE ANDALUCIA","ESPAÑOLES",109,126,235
" 03","NERVION","3 - RESTO DE ANDALUCIA","EXTRANJEROS",15,14,29
" 03","NERVION","3 - RESTO DE ANDALUCIA","TOTAL POBLACION",124,140,264
" 03","NERVION","4 - RESTO DE ESPAÑA","ESPAÑOLES",160,192,352
" 03","NERVION","4 - RESTO DE ESPAÑA","EXTRANJEROS",27,29,56
" 03","NERVION","4 - RESTO DE ESPAÑA","TOTAL POBLACION",187,221,408
" 03","NERVION","5 - EXTRANJERO","ESPAÑOLES",360,279,639
" 03","NERVION","5 - EXTRANJERO","EXTRANJEROS",9,54,63
" 03","NERVION","5 - EXTRANJERO","TOTAL POBLACION",369,333,702
" 03","NERVION","6 - TODOS","ESPAÑOLES",523,622,1145
" 03","NERVION","6 - TODOS","EXTRANJEROS",61,74,135
" 03","NERVION","6 - TODOS","TOTAL POBLACION",584,696,1280
" 04","CERRO-AMATE","1 - AREA METROPOLITANA","ESPAÑOLES",302,280,582
" 04","CERRO-AMATE","1 - AREA METROPOLITANA","EXTRANJEROS",36,50,86
" 04","CERRO-AMATE","1 - AREA METROPOLITANA","NO CONSTA",0,1,1
" 04","CERRO-AMATE","1 - AREA METROPOLITANA","TOTAL POBLACION",338,331,669
" 04","CERRO-AMATE","2 - RESTO DE LA PROVINCIA","ESPAÑOLES",157,152,309
" 04","CERRO-AMATE","2 - RESTO DE LA PROVINCIA","EXTRANJEROS",23,21,44
" 04","CERRO-AMATE","2 - RESTO DE LA PROVINCIA","TOTAL POBLACION",180,173,353
" 04","CERRO-AMATE","3 - RESTO DE ANDALUCIA","ESPAÑOLES",134,136,270
" 04","CERRO-AMATE","3 - RESTO DE ANDALUCIA","EXTRANJEROS",49,40,89
" 04","CERRO-AMATE","3 - RESTO DE ANDALUCIA","NO CONSTA",1,0,1
" 04","CERRO-AMATE","3 - RESTO DE ANDALUCIA","TOTAL POBLACION",184,176,360
" 04","CERRO-AMATE","4 - RESTO DE ESPAÑA","ESPAÑOLES",199,183,382
" 04","CERRO-AMATE","4 - RESTO DE ESPAÑA","EXTRANJEROS",71,60,131
" 04","CERRO-AMATE","4 - RESTO DE ESPAÑA","NO CONSTA",0,1,1
" 04","CERRO-AMATE","4 - RESTO DE ESPAÑA","TOTAL POBLACION",270,244,514
" 04","CERRO-AMATE","5 - EXTRANJERO","ESPAÑOLES",261,306,567
" 04","CERRO-AMATE","5 - EXTRANJERO","EXTRANJEROS",216,126,342
" 04","CERRO-AMATE","5 - EXTRANJERO","TOTAL POBLACION",477,432,909
" 04","CERRO-AMATE","6 - TODOS","ESPAÑOLES",821,785,1606
" 04","CERRO-AMATE","6 - TODOS","EXTRANJEROS",203,185,388
" 04","CERRO-AMATE","6 - TODOS","NO CONSTA",1,2,3
" 04","CERRO-AMATE","6 - TODOS","TOTAL POBLACION",1025,972,1997
" 05","SUR","1 - AREA METROPOLITANA","ESPAÑOLES",309,301,610
" 05","SUR","1 - AREA METROPOLITANA","EXTRANJEROS",22,36,58
" 05","SUR","1 - AREA METROPOLITANA","TOTAL POBLACION",331,337,668
" 05","SUR","2 - RESTO DE LA PROVINCIA","ESPAÑOLES",99,86,185
" 05","SUR","2 - RESTO DE LA PROVINCIA","EXTRANJEROS",7,11,18
" 05","SUR","2 - RESTO DE LA PROVINCIA","TOTAL POBLACION",106,97,203
" 05","SUR","3 - RESTO DE ANDALUCIA","ESPAÑOLES",151,165,316
" 05","SUR","3 - RESTO DE ANDALUCIA","EXTRANJEROS",9,9,18
" 05","SUR","3 - RESTO DE ANDALUCIA","TOTAL POBLACION",160,174,334
" 05","SUR","4 - RESTO DE ESPAÑA","ESPAÑOLES",218,220,438
" 05","SUR","4 - RESTO DE ESPAÑA","EXTRANJEROS",47,34,81
" 05","SUR","4 - RESTO DE ESPAÑA","NO CONSTA",0,1,1
" 05","SUR","4 - RESTO DE ESPAÑA","TOTAL POBLACION",265,255,520
" 05","SUR","5 - EXTRANJERO","ESPAÑOLES",567,567,1134
" 05","SUR","5 - EXTRANJERO","EXTRANJEROS",90,72,162
" 05","SUR","5 - EXTRANJERO","TOTAL POBLACION",657,639,1296
" 05","SUR","6 - TODOS","ESPAÑOLES",840,835,1675
" 05","SUR","6 - TODOS","EXTRANJEROS",95,98,193
" 05","SUR","6 - TODOS","NO CONSTA",0,1,1
" 05","SUR","6 - TODOS","TOTAL POBLACION",935,934,1869
" 06","TRIANA","1 - AREA METROPOLITANA","ESPAÑOLES",226,211,437
" 06","TRIANA","1 - AREA METROPOLITANA","EXTRANJEROS",31,42,73
" 06","TRIANA","1 - AREA METROPOLITANA","TOTAL POBLACION",257,253,510
" 06","TRIANA","2 - RESTO DE LA PROVINCIA","ESPAÑOLES",64,72,136
" 06","TRIANA","2 - RESTO DE LA PROVINCIA","EXTRANJEROS",2,11,13
" 06","TRIANA","2 - RESTO DE LA PROVINCIA","TOTAL POBLACION",66,83,149
" 06","TRIANA","3 - RESTO DE ANDALUCIA","ESPAÑOLES",91,81,172
" 06","TRIANA","3 - RESTO DE ANDALUCIA","EXTRANJEROS",13,7,20
" 06","TRIANA","3 - RESTO DE ANDALUCIA","TOTAL POBLACION",104,88,192
" 06","TRIANA","4 - RESTO DE ESPAÑA","ESPAÑOLES",111,124,235
" 06","TRIANA","4 - RESTO DE ESPAÑA","EXTRANJEROS",32,22,54
" 06","TRIANA","4 - RESTO DE ESPAÑA","TOTAL POBLACION",143,146,289
" 06","TRIANA","5 - EXTRANJERO","ESPAÑOLES",432,279,711
