"CD","ND","DESTINO","NACION","HOMBRES","MUJERES","TOTAL"
" 01","CASCO ANTIGUO","1 - AREA METROPOLITANA","ESPAÑOLES",215,199,414
" 01","CASCO ANTIGUO","1 - AREA METROPOLITANA","EXTRANJEROS",23,26,49
" 01","CASCO ANTIGUO","1 - AREA METROPOLITANA","TOTAL POBLACION",238,225,463
" 01","CASCO ANTIGUO","2 - RESTO DE LA PROVINCIA","ESPAÑOLES",107,99,206
" 01","CASCO ANTIGUO","2 - RESTO DE LA PROVINCIA","EXTRANJEROS",8,8,16
" 01","CASCO ANTIGUO","2 - RESTO DE LA PROVINCIA","TOTAL POBLACION",115,107,222
" 01","CASCO ANTIGUO","3 - RESTO DE ANDALUCIA","ESPAÑOLES",172,156,328
" 01","CASCO ANTIGUO","3 - RESTO DE ANDALUCIA","EXTRANJEROS",21,35,56
" 01","CASCO ANTIGUO","3 - RESTO DE ANDALUCIA","TOTAL POBLACION",193,191,384
" 01","CASCO ANTIGUO","4 - RESTO DE ESPAÑA","ESPAÑOLES",190,202,392
" 01","CASCO ANTIGUO","4 - RESTO DE ESPAÑA","EXTRANJEROS",41,62,103
" 01","CASCO ANTIGUO","4 - RESTO DE ESPAÑA","TOTAL POBLACION",231,264,495
" 01","CASCO ANTIGUO","5 - EXTRANJERO","ESPAÑOLES",720,666,1386
" 01","CASCO ANTIGUO","5 - EXTRANJERO","EXTRANJEROS",81,63,144
" 01","CASCO ANTIGUO","5 - EXTRANJERO","TOTAL POBLACION",801,729,1530
" 01","CASCO ANTIGUO","6 - TODOS","ESPAÑOLES",764,730,1494
" 01","CASCO ANTIGUO","6 - TODOS","EXTRANJEROS",102,138,240
" 01","CASCO ANTIGUO","6 - TODOS","TOTAL POBLACION",866,868,1734
" 02","MACARENA","1 - AREA METROPOLITANA","ESPAÑOLES",239,262,501
" 02","MACARENA","1 - AREA METROPOLITANA","EXTRANJEROS",51,76,127
" 02","MACARENA","1 - AREA METROPOLITANA","TOTAL POBLACION",290,338,628
" 02","MACARENA","2 - RESTO DE LA PROVINCIA","ESPAÑOLES",166,169,335
" 02","MACARENA","2 - RESTO DE LA PROVINCIA","EXTRANJEROS",27,47,74
" 02","MACARENA","2 - RESTO DE LA PROVINCIA","NO CONSTA",1,0,1
" 02","MACARENA","2 - RESTO DE LA PROVINCIA","TOTAL POBLACION",194,216,410
" 02","MACARENA","3 - RESTO DE ANDALUCIA","ESPAÑOLES",124,145,269
" 02","MACARENA","3 - RESTO DE ANDALUCIA","EXTRANJEROS",44,58,102
" 02","MACARENA","3 - RESTO DE ANDALUCIA","TOTAL POBLACION",168,203,371
" 02","MACARENA","4 - RESTO DE ESPAÑA","ESPAÑOLES",166,163,329
" 02","MACARENA","4 - RESTO DE ESPAÑA","EXTRANJEROS",102,136,238
" 02","MACARENA","4 - RESTO DE ESPAÑA","TOTAL POBLACION",268,299,567
" 02","MACARENA","5 - EXTRANJERO","ESPAÑOLES",666,675,1341
" 02","MACARENA","5 - EXTRANJERO","EXTRANJEROS",144,63,207
" 02","MACARENA","5 - EXTRANJERO","TOTAL POBLACION",810,738,1548
" 02","MACARENA","6 - TODOS","ESPAÑOLES",769,814,1583
" 02","MACARENA","6 - TODOS","EXTRANJEROS",240,324,564
" 02","MACARENA","6 - TODOS","NO CONSTA",1,0,1
" 02","MACARENA","6 - TODOS","TOTAL POBLACION",1010,1138,2148
" 03","NERVION","1 - AREA METROPOLITANA","ESPAÑOLES",137,135,272
" 03","NERVION","1 - AREA METROPOLITANA","EXTRANJEROS",10,16,26
" 03","NERVION","1 - AREA METROPOLITANA","TOTAL POBLACION",147,151,298
" 03","NERVION","2 - RESTO DE LA PROVINCIA","ESPAÑOLES",61,62,123
" 03","NERVION","2 - RESTO DE LA PROVINCIA","EXTRANJEROS",3,7,10
" 03","NERVION","2 - RESTO DE LA PROVINCIA","TOTAL POBLACION",64,69,133
" 03","NERVION","3 - RESTO DE ANDALUCIA","ESPAÑOLES",104,114,218
" 03","NERVION","3 - RESTO DE ANDALUCIA","EXTRANJEROS",10,16,26
" 03","NERVION","3 - RESTO DE ANDALUCIA","TOTAL POBLACION",114,130,244
" 03","NERVION","4 - RESTO DE ESPAÑA","ESPAÑOLES",170,157,327
" 03","NERVION","4 - RESTO DE ESPAÑA","EXTRANJEROS",42,41,83
" 03","NERVION","4 - RESTO DE ESPAÑA","TOTAL POBLACION",212,198,410
" 03","NERVION","5 - EXTRANJERO","ESPAÑOLES",477,405,882
" 03","NERVION","5 - EXTRANJERO","EXTRANJEROS",72,36,108
