"CD","ND","NACION","HOMBRES","MUJERES","TOTAL"
" 00","TOTAL MUNICIPIO","ESPAÑOLES",7312,7489,14801
" 00","TOTAL MUNICIPIO","EXTRANJEROS",1104,1277,2381
" 00","TOTAL MUNICIPIO","NO CONSTA",3,5,8
" 00","TOTAL MUNICIPIO","TOTAL POBLACION",8419,8771,17190
" 01","CASCO ANTIGUO","ESPAÑOLES",702,793,1495
" 01","CASCO ANTIGUO","EXTRANJEROS",105,113,218
" 01","CASCO ANTIGUO","NO CONSTA",1,1,2
" 01","CASCO ANTIGUO","TOTAL POBLACION",808,907,1715
" 02","MACARENA","ESPAÑOLES",814,850,1664
" 02","MACARENA","EXTRANJEROS",221,250,471
" 02","MACARENA","NO CONSTA",1,1,2
" 02","MACARENA","TOTAL POBLACION",1036,1101,2137
" 03","NERVION","ESPAÑOLES",515,533,1048
" 03","NERVION","EXTRANJEROS",48,71,119
" 03","NERVION","TOTAL POBLACION",563,604,1167
" 04","CERRO-AMATE","ESPAÑOLES",815,801,1616
" 04","CERRO-AMATE","EXTRANJEROS",212,254,466
" 04","CERRO-AMATE","NO CONSTA",1,1,2
" 04","CERRO-AMATE","TOTAL POBLACION",1028,1056,2084
" 05","SUR","ESPAÑOLES",816,772,1588
" 05","SUR","EXTRANJEROS",97,120,217
" 05","SUR","NO CONSTA",0,1,1
" 05","SUR","TOTAL POBLACION",913,893,1806
" 06","TRIANA","ESPAÑOLES",582,631,1213
" 06","TRIANA","EXTRANJEROS",68,84,152
" 06","TRIANA","NO CONSTA",0,1,1
" 06","TRIANA","TOTAL POBLACION",650,716,1366
" 07","NORTE","ESPAÑOLES",709,696,1405
" 07","NORTE","EXTRANJEROS",82,81,163
" 07","NORTE","TOTAL POBLACION",791,777,1568
" 08","S. PABLO-STA. JUSTA","ESPAÑOLES",560,579,1139
" 08","S. PABLO-STA. JUSTA","EXTRANJEROS",64,62,126
" 08","S. PABLO-STA. JUSTA","TOTAL POBLACION",624,641,1265
" 09","ESTE","ESPAÑOLES",953,965,1918
" 09","ESTE","EXTRANJEROS",136,138,274
" 09","ESTE","TOTAL POBLACION",1089,1103,2192
" 10","BELLAVISTA-LA PALMERA","ESPAÑOLES",547,523,1070
" 10","BELLAVISTA-LA PALMERA","EXTRANJEROS",57,71,128
" 10","BELLAVISTA-LA PALMERA","TOTAL POBLACION",604,594,1198
" 11","LOS REMEDIOS","ESPAÑOLES",299,346,645
" 11","LOS REMEDIOS","EXTRANJEROS",14,33,47
" 11","LOS REMEDIOS","TOTAL POBLACION",313,379,692
