"CD","ND","NACION","HOMBRES","MUJERES","TOTAL"
" 00","TOTAL MUNICIPIO","ESPAÑOLES",7060,7317,14377
" 00","TOTAL MUNICIPIO","EXTRANJEROS",1027,1221,2248
" 00","TOTAL MUNICIPIO","NO CONSTA",5,3,8
" 00","TOTAL MUNICIPIO","TOTAL POBLACION",8092,8541,16633
" 01","CASCO ANTIGUO","ESPAÑOLES",685,736,1421
" 01","CASCO ANTIGUO","EXTRANJEROS",109,125,234
" 01","CASCO ANTIGUO","TOTAL POBLACION",794,861,1655
" 02","MACARENA","ESPAÑOLES",823,800,1623
" 02","MACARENA","EXTRANJEROS",190,196,386
" 02","MACARENA","NO CONSTA",2,0,2
" 02","MACARENA","TOTAL POBLACION",1015,996,2011
" 03","NERVION","ESPAÑOLES",513,542,1055
" 03","NERVION","EXTRANJEROS",57,68,125
" 03","NERVION","TOTAL POBLACION",570,610,1180
" 04","CERRO-AMATE","ESPAÑOLES",850,869,1719
" 04","CERRO-AMATE","EXTRANJEROS",170,217,387
" 04","CERRO-AMATE","TOTAL POBLACION",1020,1086,2106
" 05","SUR","ESPAÑOLES",802,823,1625
" 05","SUR","EXTRANJEROS",99,131,230
" 05","SUR","NO CONSTA",1,1,2
" 05","SUR","TOTAL POBLACION",902,955,1857
" 06","TRIANA","ESPAÑOLES",541,545,1086
" 06","TRIANA","EXTRANJEROS",61,87,148
" 06","TRIANA","NO CONSTA",1,1,2
" 06","TRIANA","TOTAL POBLACION",603,633,1236
" 07","NORTE","ESPAÑOLES",566,682,1248
" 07","NORTE","EXTRANJEROS",63,64,127
" 07","NORTE","NO CONSTA",0,1,1
" 07","NORTE","TOTAL POBLACION",629,747,1376
" 08","S. PABLO-STA. JUSTA","ESPAÑOLES",551,605,1156
" 08","S. PABLO-STA. JUSTA","EXTRANJEROS",68,88,156
" 08","S. PABLO-STA. JUSTA","NO CONSTA",1,0,1
" 08","S. PABLO-STA. JUSTA","TOTAL POBLACION",620,693,1313
" 09","ESTE","ESPAÑOLES",904,932,1836
" 09","ESTE","EXTRANJEROS",128,132,260
" 09","ESTE","TOTAL POBLACION",1032,1064,2096
" 10","BELLAVISTA-LA PALMERA","ESPAÑOLES",534,475,1009
" 10","BELLAVISTA-LA PALMERA","EXTRANJEROS",57,75,132
" 10","BELLAVISTA-LA PALMERA","TOTAL POBLACION",591,550,1141
" 11","LOS REMEDIOS","ESPAÑOLES",291,308,599
" 11","LOS REMEDIOS","EXTRANJEROS",25,38,63
" 11","LOS REMEDIOS","TOTAL POBLACION",316,346,662
