"CD","ND","NACION","HOMBRES","MUJERES","TOTAL"
" 00","TOTAL MUNICIPIO","ESPAÑOLES",7154,7300,14454
" 00","TOTAL MUNICIPIO","EXTRANJEROS",1302,1592,2894
" 00","TOTAL MUNICIPIO","NO CONSTA",4,1,5
" 00","TOTAL MUNICIPIO","TOTAL POBLACION",8460,8893,17353
" 01","CASCO ANTIGUO","ESPAÑOLES",764,730,1494
" 01","CASCO ANTIGUO","EXTRANJEROS",102,138,240
" 01","CASCO ANTIGUO","TOTAL POBLACION",866,868,1734
" 02","MACARENA","ESPAÑOLES",769,814,1583
" 02","MACARENA","EXTRANJEROS",240,324,564
" 02","MACARENA","NO CONSTA",1,0,1
" 02","MACARENA","TOTAL POBLACION",1010,1138,2148
" 03","NERVION","ESPAÑOLES",525,513,1038
" 03","NERVION","EXTRANJEROS",73,84,157
" 03","NERVION","TOTAL POBLACION",598,597,1195
" 04","CERRO-AMATE","ESPAÑOLES",829,857,1686
" 04","CERRO-AMATE","EXTRANJEROS",318,348,666
" 04","CERRO-AMATE","NO CONSTA",1,0,1
" 04","CERRO-AMATE","TOTAL POBLACION",1148,1205,2353
" 05","SUR","ESPAÑOLES",773,815,1588
" 05","SUR","EXTRANJEROS",138,176,314
" 05","SUR","TOTAL POBLACION",911,991,1902
" 06","TRIANA","ESPAÑOLES",537,601,1138
" 06","TRIANA","EXTRANJEROS",55,78,133
" 06","TRIANA","NO CONSTA",1,0,1
" 06","TRIANA","TOTAL POBLACION",593,679,1272
" 07","NORTE","ESPAÑOLES",604,712,1316
" 07","NORTE","EXTRANJEROS",77,76,153
" 07","NORTE","NO CONSTA",0,1,1
" 07","NORTE","TOTAL POBLACION",681,789,1470
" 08","S. PABLO-STA. JUSTA","ESPAÑOLES",623,572,1195
" 08","S. PABLO-STA. JUSTA","EXTRANJEROS",77,98,175
" 08","S. PABLO-STA. JUSTA","TOTAL POBLACION",700,670,1370
" 09","ESTE","ESPAÑOLES",884,840,1724
" 09","ESTE","EXTRANJEROS",127,152,279
" 09","ESTE","TOTAL POBLACION",1011,992,2003
" 10","BELLAVISTA-LA PALMERA","ESPAÑOLES",562,556,1118
" 10","BELLAVISTA-LA PALMERA","EXTRANJEROS",69,79,148
" 10","BELLAVISTA-LA PALMERA","NO CONSTA",1,0,1
" 10","BELLAVISTA-LA PALMERA","TOTAL POBLACION",632,635,1267
" 11","LOS REMEDIOS","ESPAÑOLES",284,290,574
" 11","LOS REMEDIOS","EXTRANJEROS",26,39,65
" 11","LOS REMEDIOS","TOTAL POBLACION",310,329,639
