"CD","ND","GRUPO","HOMBRES","MUJERES","TOTAL"
" 00","01 TOTAL DISTRITOS","TOTAL POBLACION",332168,366776,698944
" 01","CASCO ANTIGUO"," 00",243,214,457
" 01","CASCO ANTIGUO"," 01",239,257,496
" 01","CASCO ANTIGUO"," 02",259,229,488
" 01","CASCO ANTIGUO"," 03",266,236,502
" 01","CASCO ANTIGUO"," 04",272,248,520
" 01","CASCO ANTIGUO"," 05",261,252,513
" 01","CASCO ANTIGUO"," 06",257,240,497
" 01","CASCO ANTIGUO"," 07",278,243,521
" 01","CASCO ANTIGUO"," 08",262,264,526
" 01","CASCO ANTIGUO"," 09",276,241,517
" 01","CASCO ANTIGUO"," 10",250,284,534
" 01","CASCO ANTIGUO"," 11",251,248,499
" 01","CASCO ANTIGUO"," 12",246,247,493
" 01","CASCO ANTIGUO"," 13",240,245,485
" 01","CASCO ANTIGUO"," 14",226,255,481
" 01","CASCO ANTIGUO"," 15",226,234,460
" 01","CASCO ANTIGUO"," 16",207,225,432
" 01","CASCO ANTIGUO"," 17",217,193,410
" 01","CASCO ANTIGUO"," 18",191,208,399
" 01","CASCO ANTIGUO"," 19",227,209,436
" 01","CASCO ANTIGUO"," 20",215,211,426
" 01","CASCO ANTIGUO"," 21",214,236,450
" 01","CASCO ANTIGUO"," 22",224,240,464
" 01","CASCO ANTIGUO"," 23",227,265,492
" 01","CASCO ANTIGUO"," 24",244,276,520
" 01","CASCO ANTIGUO"," 25",276,335,611
" 01","CASCO ANTIGUO"," 26",264,328,592
" 01","CASCO ANTIGUO"," 27",284,344,628
" 01","CASCO ANTIGUO"," 28",286,382,668
" 01","CASCO ANTIGUO"," 29",343,399,742
" 01","CASCO ANTIGUO"," 30",379,434,813
" 01","CASCO ANTIGUO"," 31",414,416,830
" 01","CASCO ANTIGUO"," 32",439,484,923
" 01","CASCO ANTIGUO"," 33",461,497,958
" 01","CASCO ANTIGUO"," 34",499,508,1007
" 01","CASCO ANTIGUO"," 35",524,501,1025
" 01","CASCO ANTIGUO"," 36",491,565,1056
" 01","CASCO ANTIGUO"," 37",526,518,1044
" 01","CASCO ANTIGUO"," 38",554,529,1083
" 01","CASCO ANTIGUO"," 39",573,552,1125
" 01","CASCO ANTIGUO"," 40",529,535,1064
" 01","CASCO ANTIGUO"," 41",540,543,1083
" 01","CASCO ANTIGUO"," 42",509,511,1020
" 01","CASCO ANTIGUO"," 43",502,565,1067
" 01","CASCO ANTIGUO"," 44",492,512,1004
" 01","CASCO ANTIGUO"," 45",580,514,1094
" 01","CASCO ANTIGUO"," 46",531,477,1008
" 01","CASCO ANTIGUO"," 47",493,518,1011
" 01","CASCO ANTIGUO"," 48",510,506,1016
" 01","CASCO ANTIGUO"," 49",511,530,1041
" 01","CASCO ANTIGUO"," 50",494,500,994
" 01","CASCO ANTIGUO"," 51",516,491,1007
" 01","CASCO ANTIGUO"," 52",524,462,986
" 01","CASCO ANTIGUO"," 53",399,450,849
" 01","CASCO ANTIGUO"," 54",396,453,849
" 01","CASCO ANTIGUO"," 55",387,449,836
" 01","CASCO ANTIGUO"," 56",367,387,754
" 01","CASCO ANTIGUO"," 57",400,411,811
" 01","CASCO ANTIGUO"," 58",373,441,814
" 01","CASCO ANTIGUO"," 59",358,435,793
" 01","CASCO ANTIGUO"," 60",329,387,716
" 01","CASCO ANTIGUO"," 61",337,390,727
" 01","CASCO ANTIGUO"," 62",329,364,693
" 01","CASCO ANTIGUO"," 63",317,360,677
" 01","CASCO ANTIGUO"," 64",318,352,670
" 01","CASCO ANTIGUO"," 65",282,377,659
" 01","CASCO ANTIGUO"," 66",288,353,641
" 01","CASCO ANTIGUO"," 67",283,328,611
" 01","CASCO ANTIGUO"," 68",262,319,581
" 01","CASCO ANTIGUO"," 69",263,342,605
" 01","CASCO ANTIGUO"," 70",235,307,542
" 01","CASCO ANTIGUO"," 71",253,306,559
" 01","CASCO ANTIGUO"," 72",246,318,564
" 01","CASCO ANTIGUO"," 73",194,258,452
