"CD","ND","GRUPO","HOMBRES","MUJERES","TOTAL"
" 00","01 TOTAL DISTRITOS","TOTAL POBLACION",333079,367517,700596
" 01","CASCO ANTIGUO"," 00",245,247,492
" 01","CASCO ANTIGUO"," 01",268,238,506
" 01","CASCO ANTIGUO"," 02",283,249,532
" 01","CASCO ANTIGUO"," 03",279,253,532
" 01","CASCO ANTIGUO"," 04",272,258,530
" 01","CASCO ANTIGUO"," 05",268,244,512
" 01","CASCO ANTIGUO"," 06",294,245,539
" 01","CASCO ANTIGUO"," 07",262,259,521
" 01","CASCO ANTIGUO"," 08",275,238,513
" 01","CASCO ANTIGUO"," 09",251,288,539
" 01","CASCO ANTIGUO"," 10",249,247,496
" 01","CASCO ANTIGUO"," 11",247,245,492
" 01","CASCO ANTIGUO"," 12",244,252,496
" 01","CASCO ANTIGUO"," 13",231,256,487
" 01","CASCO ANTIGUO"," 14",222,234,456
" 01","CASCO ANTIGUO"," 15",205,227,432
" 01","CASCO ANTIGUO"," 16",215,189,404
" 01","CASCO ANTIGUO"," 17",190,206,396
" 01","CASCO ANTIGUO"," 18",221,206,427
" 01","CASCO ANTIGUO"," 19",216,205,421
" 01","CASCO ANTIGUO"," 20",212,231,443
" 01","CASCO ANTIGUO"," 21",217,231,448
" 01","CASCO ANTIGUO"," 22",222,259,481
" 01","CASCO ANTIGUO"," 23",239,279,518
" 01","CASCO ANTIGUO"," 24",264,290,554
" 01","CASCO ANTIGUO"," 25",245,307,552
" 01","CASCO ANTIGUO"," 26",285,310,595
" 01","CASCO ANTIGUO"," 27",280,357,637
" 01","CASCO ANTIGUO"," 28",332,386,718
" 01","CASCO ANTIGUO"," 29",372,427,799
" 01","CASCO ANTIGUO"," 30",400,413,813
" 01","CASCO ANTIGUO"," 31",463,511,974
" 01","CASCO ANTIGUO"," 32",447,514,961
" 01","CASCO ANTIGUO"," 33",517,507,1024
" 01","CASCO ANTIGUO"," 34",516,533,1049
" 01","CASCO ANTIGUO"," 35",503,558,1061
" 01","CASCO ANTIGUO"," 36",543,533,1076
" 01","CASCO ANTIGUO"," 37",552,541,1093
" 01","CASCO ANTIGUO"," 38",581,559,1140
" 01","CASCO ANTIGUO"," 39",521,545,1066
" 01","CASCO ANTIGUO"," 40",545,545,1090
" 01","CASCO ANTIGUO"," 41",507,529,1036
" 01","CASCO ANTIGUO"," 42",489,589,1078
" 01","CASCO ANTIGUO"," 43",505,507,1012
" 01","CASCO ANTIGUO"," 44",578,505,1083
" 01","CASCO ANTIGUO"," 45",546,476,1022
" 01","CASCO ANTIGUO"," 46",488,513,1001
" 01","CASCO ANTIGUO"," 47",511,509,1020
" 01","CASCO ANTIGUO"," 48",511,530,1041
" 01","CASCO ANTIGUO"," 49",501,495,996
" 01","CASCO ANTIGUO"," 50",520,498,1018
" 01","CASCO ANTIGUO"," 51",518,462,980
" 01","CASCO ANTIGUO"," 52",407,449,856
" 01","CASCO ANTIGUO"," 53",393,452,845
" 01","CASCO ANTIGUO"," 54",395,452,847
" 01","CASCO ANTIGUO"," 55",369,391,760
" 01","CASCO ANTIGUO"," 56",399,418,817
" 01","CASCO ANTIGUO"," 57",382,438,820
" 01","CASCO ANTIGUO"," 58",360,435,795
" 01","CASCO ANTIGUO"," 59",332,387,719
" 01","CASCO ANTIGUO"," 60",337,394,731
" 01","CASCO ANTIGUO"," 61",336,362,698
" 01","CASCO ANTIGUO"," 62",328,367,695
" 01","CASCO ANTIGUO"," 63",323,358,681
" 01","CASCO ANTIGUO"," 64",290,376,666
" 01","CASCO ANTIGUO"," 65",286,353,639
" 01","CASCO ANTIGUO"," 66",285,334,619
" 01","CASCO ANTIGUO"," 67",266,324,590
" 01","CASCO ANTIGUO"," 68",267,339,606
" 01","CASCO ANTIGUO"," 69",234,313,547
" 01","CASCO ANTIGUO"," 70",262,306,568
" 01","CASCO ANTIGUO"," 71",254,322,576
" 01","CASCO ANTIGUO"," 72",204,261,465
" 01","CASCO ANTIGUO"," 73",175,252,427
" 01","CASCO ANTIGUO"," 74",221,290,511
" 01","CASCO ANTIGUO"," 75",173,286,459
" 01","CASCO ANTIGUO"," 76",150,283,433
" 01","CASCO ANTIGUO"," 77",131,232,363
" 01","CASCO ANTIGUO"," 78",160,245,405
" 01","CASCO ANTIGUO"," 79",164,259,423
" 01","CASCO ANTIGUO"," 80",131,250,381
" 01","CASCO ANTIGUO"," 81",130,242,372
" 01","CASCO ANTIGUO"," 82",118,232,350
" 01","CASCO ANTIGUO"," 83",105,208,313
" 01","CASCO ANTIGUO"," 84",81,196,277
" 01","CASCO ANTIGUO"," 85",93,211,304
" 01","CASCO ANTIGUO"," 86",77,198,275
" 01","CASCO ANTIGUO"," 87",72,156,228
" 01","CASCO ANTIGUO"," 88",47,145,192
" 01","CASCO ANTIGUO"," 89",40,120,160
" 01","CASCO ANTIGUO","90 y más años",150,612,762
" 01","CASCO ANTIGUO","TOTAL POBLACION",27794,31483,59277
" 02","MACARENA"," 00",326,320,646
" 02","MACARENA"," 01",303,288,591
" 02","MACARENA"," 02",324,313,637
" 02","MACARENA"," 03",341,319,660
" 02","MACARENA"," 04",358,305,663
" 02","MACARENA"," 05",382,346,728
" 02","MACARENA"," 06",366,385,751
" 02","MACARENA"," 07",345,372,717
" 02","MACARENA"," 08",325,286,611
" 02","MACARENA"," 09",332,332,664
" 02","MACARENA"," 10",334,311,645
" 02","MACARENA"," 11",299,266,565
" 02","MACARENA"," 12",266,267,533
" 02","MACARENA"," 13",285,300,585
" 02","MACARENA"," 14",296,288,584
" 02","MACARENA"," 15",285,261,546
" 02","MACARENA"," 16",309,260,569
" 02","MACARENA"," 17",302,287,589
" 02","MACARENA"," 18",306,303,609
" 02","MACARENA"," 19",323,290,613
