"CD","ND","GRUPO","HOMBRES","MUJERES","TOTAL"
" 00","01 TOTAL DISTRITOS","TOTAL POBLACION",331931,366759,698690
" 01","CASCO ANTIGUO"," 00",243,262,505
" 01","CASCO ANTIGUO"," 01",255,212,467
" 01","CASCO ANTIGUO"," 02",227,227,454
" 01","CASCO ANTIGUO"," 03",250,224,474
" 01","CASCO ANTIGUO"," 04",263,233,496
" 01","CASCO ANTIGUO"," 05",265,238,503
" 01","CASCO ANTIGUO"," 06",261,250,511
" 01","CASCO ANTIGUO"," 07",252,241,493
" 01","CASCO ANTIGUO"," 08",276,241,517
" 01","CASCO ANTIGUO"," 09",262,257,519
" 01","CASCO ANTIGUO"," 10",283,243,526
" 01","CASCO ANTIGUO"," 11",246,278,524
" 01","CASCO ANTIGUO"," 12",251,255,506
" 01","CASCO ANTIGUO"," 13",249,246,495
" 01","CASCO ANTIGUO"," 14",244,243,487
" 01","CASCO ANTIGUO"," 15",230,259,489
" 01","CASCO ANTIGUO"," 16",230,231,461
" 01","CASCO ANTIGUO"," 17",203,224,427
" 01","CASCO ANTIGUO"," 18",214,186,400
" 01","CASCO ANTIGUO"," 19",187,208,395
" 01","CASCO ANTIGUO"," 20",228,217,445
" 01","CASCO ANTIGUO"," 21",220,222,442
" 01","CASCO ANTIGUO"," 22",225,252,477
" 01","CASCO ANTIGUO"," 23",233,247,480
" 01","CASCO ANTIGUO"," 24",236,278,514
" 01","CASCO ANTIGUO"," 25",248,293,541
" 01","CASCO ANTIGUO"," 26",284,360,644
" 01","CASCO ANTIGUO"," 27",271,344,615
" 01","CASCO ANTIGUO"," 28",310,354,664
" 01","CASCO ANTIGUO"," 29",305,383,688
" 01","CASCO ANTIGUO"," 30",342,405,747
" 01","CASCO ANTIGUO"," 31",369,435,804
" 01","CASCO ANTIGUO"," 32",421,425,846
" 01","CASCO ANTIGUO"," 33",421,489,910
" 01","CASCO ANTIGUO"," 34",469,484,953
" 01","CASCO ANTIGUO"," 35",514,503,1017
" 01","CASCO ANTIGUO"," 36",522,497,1019
" 01","CASCO ANTIGUO"," 37",499,540,1039
" 01","CASCO ANTIGUO"," 38",520,509,1029
" 01","CASCO ANTIGUO"," 39",532,534,1066
" 01","CASCO ANTIGUO"," 40",560,533,1093
" 01","CASCO ANTIGUO"," 41",525,534,1059
" 01","CASCO ANTIGUO"," 42",534,534,1068
" 01","CASCO ANTIGUO"," 43",503,500,1003
" 01","CASCO ANTIGUO"," 44",499,568,1067
" 01","CASCO ANTIGUO"," 45",475,512,987
" 01","CASCO ANTIGUO"," 46",566,513,1079
" 01","CASCO ANTIGUO"," 47",522,483,1005
" 01","CASCO ANTIGUO"," 48",490,520,1010
" 01","CASCO ANTIGUO"," 49",506,497,1003
" 01","CASCO ANTIGUO"," 50",511,526,1037
" 01","CASCO ANTIGUO"," 51",487,500,987
" 01","CASCO ANTIGUO"," 52",505,492,997
" 01","CASCO ANTIGUO"," 53",525,460,985
" 01","CASCO ANTIGUO"," 54",396,442,838
" 01","CASCO ANTIGUO"," 55",390,462,852
" 01","CASCO ANTIGUO"," 56",384,440,824
