"CD","ND","GRUPO","HOMBRES","MUJERES","TOTAL"
" 00","01 TOTAL DISTRITOS","TOTAL POBLACION",329614,364878,694492
" 01","CASCO ANTIGUO"," 00",160,161,321
" 01","CASCO ANTIGUO"," 01",167,177,344
" 01","CASCO ANTIGUO"," 02",183,219,402
" 01","CASCO ANTIGUO"," 03",191,181,372
" 01","CASCO ANTIGUO"," 04",231,236,467
" 01","CASCO ANTIGUO"," 05",241,207,448
" 01","CASCO ANTIGUO"," 06",210,203,413
" 01","CASCO ANTIGUO"," 07",239,218,457
" 01","CASCO ANTIGUO"," 08",252,226,478
" 01","CASCO ANTIGUO"," 09",263,245,508
" 01","CASCO ANTIGUO"," 10",257,242,499
" 01","CASCO ANTIGUO"," 11",241,236,477
" 01","CASCO ANTIGUO"," 12",264,253,517
" 01","CASCO ANTIGUO"," 13",262,266,528
" 01","CASCO ANTIGUO"," 14",277,238,515
" 01","CASCO ANTIGUO"," 15",250,273,523
" 01","CASCO ANTIGUO"," 16",255,251,506
" 01","CASCO ANTIGUO"," 17",257,252,509
" 01","CASCO ANTIGUO"," 18",236,244,480
" 01","CASCO ANTIGUO"," 19",235,254,489
" 01","CASCO ANTIGUO"," 20",246,254,500
" 01","CASCO ANTIGUO"," 21",231,237,468
" 01","CASCO ANTIGUO"," 22",238,234,472
" 01","CASCO ANTIGUO"," 23",211,250,461
" 01","CASCO ANTIGUO"," 24",255,267,522
" 01","CASCO ANTIGUO"," 25",245,271,516
" 01","CASCO ANTIGUO"," 26",269,317,586
" 01","CASCO ANTIGUO"," 27",278,305,583
" 01","CASCO ANTIGUO"," 28",300,336,636
" 01","CASCO ANTIGUO"," 29",305,351,656
" 01","CASCO ANTIGUO"," 30",331,364,695
" 01","CASCO ANTIGUO"," 31",320,373,693
" 01","CASCO ANTIGUO"," 32",324,371,695
" 01","CASCO ANTIGUO"," 33",321,399,720
" 01","CASCO ANTIGUO"," 34",346,372,718
" 01","CASCO ANTIGUO"," 35",370,400,770
" 01","CASCO ANTIGUO"," 36",366,382,748
" 01","CASCO ANTIGUO"," 37",406,442,848
" 01","CASCO ANTIGUO"," 38",413,432,845
" 01","CASCO ANTIGUO"," 39",461,453,914
" 01","CASCO ANTIGUO"," 40",444,451,895
" 01","CASCO ANTIGUO"," 41",494,527,1021
" 01","CASCO ANTIGUO"," 42",471,523,994
" 01","CASCO ANTIGUO"," 43",497,502,999
" 01","CASCO ANTIGUO"," 44",512,502,1014
" 01","CASCO ANTIGUO"," 45",491,511,1002
" 01","CASCO ANTIGUO"," 46",499,502,1001
" 01","CASCO ANTIGUO"," 47",503,512,1015
" 01","CASCO ANTIGUO"," 48",477,555,1032
" 01","CASCO ANTIGUO"," 49",460,485,945
" 01","CASCO ANTIGUO"," 50",540,480,1020
" 01","CASCO ANTIGUO"," 51",493,460,953
" 01","CASCO ANTIGUO"," 52",489,486,975
" 01","CASCO ANTIGUO"," 53",494,463,957
" 01","CASCO ANTIGUO"," 54",477,519,996
" 01","CASCO ANTIGUO"," 55",464,480,944
" 01","CASCO ANTIGUO"," 56",468,466,934
" 01","CASCO ANTIGUO"," 57",491,436,927
" 01","CASCO ANTIGUO"," 58",369,431,800
" 01","CASCO ANTIGUO"," 59",363,440,803
" 01","CASCO ANTIGUO"," 60",380,408,788
" 01","CASCO ANTIGUO"," 61",348,356,704
" 01","CASCO ANTIGUO"," 62",347,394,741
" 01","CASCO ANTIGUO"," 63",342,424,766
" 01","CASCO ANTIGUO"," 64",311,407,718
" 01","CASCO ANTIGUO"," 65",285,360,645
" 01","CASCO ANTIGUO"," 66",313,380,693
" 01","CASCO ANTIGUO"," 67",299,348,647
" 01","CASCO ANTIGUO"," 68",280,345,625
" 01","CASCO ANTIGUO"," 69",288,339,627
" 01","CASCO ANTIGUO"," 70",253,337,590
" 01","CASCO ANTIGUO"," 71",252,324,576
" 01","CASCO ANTIGUO"," 72",256,303,559
" 01","CASCO ANTIGUO"," 73",227,318,545
" 01","CASCO ANTIGUO"," 74",224,320,544
" 01","CASCO ANTIGUO"," 75",214,297,511
" 01","CASCO ANTIGUO"," 76",196,284,480
" 01","CASCO ANTIGUO"," 77",211,292,503
" 01","CASCO ANTIGUO"," 78",175,234,409
" 01","CASCO ANTIGUO"," 79",152,224,376
" 01","CASCO ANTIGUO"," 80",161,270,431
" 01","CASCO ANTIGUO"," 81",132,235,367
" 01","CASCO ANTIGUO"," 82",105,233,338
" 01","CASCO ANTIGUO"," 83",95,171,266
" 01","CASCO ANTIGUO"," 84",112,190,302
" 01","CASCO ANTIGUO"," 85",111,198,309
" 01","CASCO ANTIGUO"," 86",81,175,256
" 01","CASCO ANTIGUO"," 87",68,152,220
" 01","CASCO ANTIGUO"," 88",68,149,217
" 01","CASCO ANTIGUO"," 89",45,119,164
" 01","CASCO ANTIGUO","90 y más años",169,591,760
" 01","CASCO ANTIGUO","TOTAL POBLACION",26903,30300,57203
" 02","MACARENA"," 00",252,258,510
" 02","MACARENA"," 01",279,284,563
" 02","MACARENA"," 02",303,270,573
" 02","MACARENA"," 03",298,296,594
" 02","MACARENA"," 04",247,253,500
" 02","MACARENA"," 05",312,293,605
" 02","MACARENA"," 06",298,345,643
" 02","MACARENA"," 07",297,284,581
" 02","MACARENA"," 08",335,330,665
" 02","MACARENA"," 09",334,301,635
" 02","MACARENA"," 10",362,317,679
" 02","MACARENA"," 11",365,337,702
