"CD","ND","GRUPO","HOMBRES","MUJERES","TOTAL"
" 00","01 TOTAL DISTRITOS","TOTAL POBLACION",331979,367026,699005
" 01","CASCO ANTIGUO"," 00",215,221,436
" 01","CASCO ANTIGUO"," 01",214,190,404
" 01","CASCO ANTIGUO"," 02",240,246,486
" 01","CASCO ANTIGUO"," 03",245,214,459
" 01","CASCO ANTIGUO"," 04",209,219,428
" 01","CASCO ANTIGUO"," 05",243,221,464
" 01","CASCO ANTIGUO"," 06",263,230,493
" 01","CASCO ANTIGUO"," 07",261,238,499
" 01","CASCO ANTIGUO"," 08",264,247,511
" 01","CASCO ANTIGUO"," 09",251,244,495
" 01","CASCO ANTIGUO"," 10",261,245,506
" 01","CASCO ANTIGUO"," 11",257,266,523
" 01","CASCO ANTIGUO"," 12",288,245,533
" 01","CASCO ANTIGUO"," 13",245,291,536
" 01","CASCO ANTIGUO"," 14",252,258,510
" 01","CASCO ANTIGUO"," 15",251,248,499
" 01","CASCO ANTIGUO"," 16",238,244,482
" 01","CASCO ANTIGUO"," 17",230,250,480
" 01","CASCO ANTIGUO"," 18",231,231,462
" 01","CASCO ANTIGUO"," 19",211,219,430
" 01","CASCO ANTIGUO"," 20",229,193,422
" 01","CASCO ANTIGUO"," 21",188,235,423
" 01","CASCO ANTIGUO"," 22",241,239,480
" 01","CASCO ANTIGUO"," 23",235,236,471
" 01","CASCO ANTIGUO"," 24",245,279,524
" 01","CASCO ANTIGUO"," 25",253,277,530
" 01","CASCO ANTIGUO"," 26",269,322,591
" 01","CASCO ANTIGUO"," 27",281,353,634
" 01","CASCO ANTIGUO"," 28",311,366,677
" 01","CASCO ANTIGUO"," 29",292,360,652
" 01","CASCO ANTIGUO"," 30",327,376,703
" 01","CASCO ANTIGUO"," 31",314,420,734
" 01","CASCO ANTIGUO"," 32",355,401,756
" 01","CASCO ANTIGUO"," 33",362,410,772
" 01","CASCO ANTIGUO"," 34",396,429,825
" 01","CASCO ANTIGUO"," 35",412,476,888
" 01","CASCO ANTIGUO"," 36",441,461,902
" 01","CASCO ANTIGUO"," 37",487,502,989
" 01","CASCO ANTIGUO"," 38",502,462,964
" 01","CASCO ANTIGUO"," 39",505,514,1019
" 01","CASCO ANTIGUO"," 40",513,511,1024
" 01","CASCO ANTIGUO"," 41",531,527,1058
" 01","CASCO ANTIGUO"," 42",530,512,1042
" 01","CASCO ANTIGUO"," 43",507,523,1030
" 01","CASCO ANTIGUO"," 44",517,526,1043
" 01","CASCO ANTIGUO"," 45",504,509,1013
" 01","CASCO ANTIGUO"," 46",490,560,1050
" 01","CASCO ANTIGUO"," 47",481,501,982
" 01","CASCO ANTIGUO"," 48",555,497,1052
" 01","CASCO ANTIGUO"," 49",508,474,982
" 01","CASCO ANTIGUO"," 50",490,509,999
" 01","CASCO ANTIGUO"," 51",503,480,983
" 01","CASCO ANTIGUO"," 52",498,518,1016
" 01","CASCO ANTIGUO"," 53",472,506,978
" 01","CASCO ANTIGUO"," 54",488,481,969
" 01","CASCO ANTIGUO"," 55",510,445,955
" 01","CASCO ANTIGUO"," 56",386,440,826
" 01","CASCO ANTIGUO"," 57",378,453,831
" 01","CASCO ANTIGUO"," 58",387,422,809
" 01","CASCO ANTIGUO"," 59",351,371,722
" 01","CASCO ANTIGUO"," 60",388,404,792
" 01","CASCO ANTIGUO"," 61",350,429,779
" 01","CASCO ANTIGUO"," 62",329,423,752
" 01","CASCO ANTIGUO"," 63",303,366,669
" 01","CASCO ANTIGUO"," 64",331,383,714
" 01","CASCO ANTIGUO"," 65",321,367,688
" 01","CASCO ANTIGUO"," 66",291,350,641
" 01","CASCO ANTIGUO"," 67",300,349,649
" 01","CASCO ANTIGUO"," 68",261,359,620
" 01","CASCO ANTIGUO"," 69",273,335,608
" 01","CASCO ANTIGUO"," 70",267,313,580
" 01","CASCO ANTIGUO"," 71",245,318,563
" 01","CASCO ANTIGUO"," 72",239,329,568
" 01","CASCO ANTIGUO"," 73",223,296,519
" 01","CASCO ANTIGUO"," 74",220,288,508
" 01","CASCO ANTIGUO"," 75",218,300,518
" 01","CASCO ANTIGUO"," 76",183,248,431
" 01","CASCO ANTIGUO"," 77",155,230,385
" 01","CASCO ANTIGUO"," 78",186,275,461
" 01","CASCO ANTIGUO"," 79",145,254,399
" 01","CASCO ANTIGUO"," 80",129,253,382
" 01","CASCO ANTIGUO"," 81",105,192,297
" 01","CASCO ANTIGUO"," 82",127,206,333
" 01","CASCO ANTIGUO"," 83",128,218,346
" 01","CASCO ANTIGUO"," 84",100,207,307
" 01","CASCO ANTIGUO"," 85",96,189,285
" 01","CASCO ANTIGUO"," 86",82,185,267
" 01","CASCO ANTIGUO"," 87",59,148,207
" 01","CASCO ANTIGUO"," 88",45,135,180
" 01","CASCO ANTIGUO"," 89",56,138,194
" 01","CASCO ANTIGUO","90 y más años",161,619,780
" 01","CASCO ANTIGUO","TOTAL POBLACION",27429,30949,58378
" 02","MACARENA"," 00",285,255,540
" 02","MACARENA"," 01",306,294,600
" 02","MACARENA"," 02",246,248,494
" 02","MACARENA"," 03",308,293,601
" 02","MACARENA"," 04",295,337,632
" 02","MACARENA"," 05",297,280,577
" 02","MACARENA"," 06",322,324,646
" 02","MACARENA"," 07",337,304,641
" 02","MACARENA"," 08",362,303,665
" 02","MACARENA"," 09",375,346,721
" 02","MACARENA"," 10",364,378,742
