"BARRIO","DISTRITO","NACION","HOMBRES","MUJERES","TOTAL"
"- TOTAL MUNICIPIO -","- TOTAL MUNICIPIO -","ESPAÑOLES",7090,7217,14307
"- TOTAL MUNICIPIO -","- TOTAL MUNICIPIO -","EXTRANJEROS",997,1097,2094
"- TOTAL MUNICIPIO -","- TOTAL MUNICIPIO -","NO CONSTA",3,6,9
"- TOTAL MUNICIPIO -","- TOTAL MUNICIPIO -","TOTAL POBLACION",8090,8320,16410
"AEROPUERTO VIEJO","NORTE","ESPAÑOLES",19,23,42
"AEROPUERTO VIEJO","NORTE","EXTRANJEROS",0,3,3
"AEROPUERTO VIEJO","NORTE","TOTAL POBLACION",19,26,45
"ALFALFA","CASCO ANTIGUO","ESPAÑOLES",45,44,89
"ALFALFA","CASCO ANTIGUO","EXTRANJEROS",7,10,17
"ALFALFA","CASCO ANTIGUO","TOTAL POBLACION",52,54,106
"AMATE","CERRO-AMATE","ESPAÑOLES",51,47,98
"AMATE","CERRO-AMATE","EXTRANJEROS",1,6,7
"AMATE","CERRO-AMATE","TOTAL POBLACION",52,53,105
"ARBOL GORDO","S. PABLO-STA. JUSTA","ESPAÑOLES",5,9,14
"ARBOL GORDO","S. PABLO-STA. JUSTA","EXTRANJEROS",1,2,3
"ARBOL GORDO","S. PABLO-STA. JUSTA","TOTAL POBLACION",6,11,17
"ARENAL","CASCO ANTIGUO","ESPAÑOLES",48,47,95
"ARENAL","CASCO ANTIGUO","EXTRANJEROS",6,7,13
"ARENAL","CASCO ANTIGUO","TOTAL POBLACION",54,54,108
"AVENIDA DE LA PAZ","SUR","ESPAÑOLES",42,38,80
"AVENIDA DE LA PAZ","SUR","EXTRANJEROS",4,7,11
"AVENIDA DE LA PAZ","SUR","TOTAL POBLACION",46,45,91
"BAMI","SUR","ESPAÑOLES",43,40,83
"BAMI","SUR","EXTRANJEROS",9,13,22
"BAMI","SUR","TOTAL POBLACION",52,53,105
"BARRIADA DE PINEDA","BELLAVISTA-LA PALMERA","ESPAÑOLES",3,6,9
"BARRIADA DE PINEDA","BELLAVISTA-LA PALMERA","EXTRANJEROS",1,1,2
"BARRIADA DE PINEDA","BELLAVISTA-LA PALMERA","TOTAL POBLACION",4,7,11
"BARRIADA PINO MONTANO","NORTE","ESPAÑOLES",241,262,503
"BARRIADA PINO MONTANO","NORTE","EXTRANJEROS",24,14,38
"BARRIADA PINO MONTANO","NORTE","TOTAL POBLACION",265,276,541
"BARRIO LEON","TRIANA","ESPAÑOLES",34,27,61
"BARRIO LEON","TRIANA","EXTRANJEROS",0,3,3
"BARRIO LEON","TRIANA","TOTAL POBLACION",34,30,64
"BEGO¿A-SANTA CATALINA","MACARENA","ESPAÑOLES",50,53,103
"BEGO¿A-SANTA CATALINA","MACARENA","EXTRANJEROS",15,9,24
"BEGO¿A-SANTA CATALINA","MACARENA","TOTAL POBLACION",65,62,127
"BELLAVISTA","BELLAVISTA-LA PALMERA","ESPAÑOLES",231,238,469
"BELLAVISTA","BELLAVISTA-LA PALMERA","EXTRANJEROS",30,35,65
"BELLAVISTA","BELLAVISTA-LA PALMERA","TOTAL POBLACION",261,273,534
"CAMPOS DE SORIA","MACARENA","ESPAÑOLES",40,35,75
"CAMPOS DE SORIA","MACARENA","EXTRANJEROS",1,1,2
"CAMPOS DE SORIA","MACARENA","TOTAL POBLACION",41,36,77
"CISNEO ALTO-SANTA MARIA DE GRACIA","MACARENA","ESPAÑOLES",8,7,15
"CISNEO ALTO-SANTA MARIA DE GRACIA","MACARENA","EXTRANJEROS",1,1,2
"CISNEO ALTO-SANTA MARIA DE GRACIA","MACARENA","TOTAL POBLACION",9,8,17
"CIUDAD JARDIN","NERVION","ESPAÑOLES",35,36,71
"CIUDAD JARDIN","NERVION","EXTRANJEROS",6,6,12
"CIUDAD JARDIN","NERVION","TOTAL POBLACION",41,42,83
"COLORES, ENTREPARQUES","ESTE","ESPAÑOLES",356,398,754
"COLORES, ENTREPARQUES","ESTE","EXTRANJEROS",17,19,36
