Distrito;Renta media por persona ;Renta media por hogar
SEVILLA;10 830;28 849
CASCO ANTIGUO;14 736;34 866
MACARENA;9 345;23 365
NERVIÓN;15 559;40 556
CERRO-AMATE;7 207;19 519
SUR;11 058;30 251
TRIANA;12 424;31 034
NORTE;8 566;23 759
SAN PABLO-SANTA JUSTA;11 523;29 980
ESTE;9 241;26 817
BELLAVISTA-LA PALMERA;11 853;33 635
LOS REMEDIOS;15 704;42 623
