ACTIVIDAD;MUNICIPIO DE SEVILLA;RESTO PROVINCIA;TOTAL PROVINCIA
AIAT. Actividades de intermediación de servicios turísticos no incluidas en la letra b) ap 1 art 28;1;0;1
AIAT. Actividades deportivas;3;0;3
AIAT. Actividades dirigidas a prestar servicios de recepción a las personas usuarias turísticas;0;4;4
AIAT. Actividades relacionadas con el bienestar personal;1;0;1
AIAT. Actividades relacionadas con el conocimiento de la lengua castellana por personas extranjeras;1;0;1
AIAT. Ocio, entretenimiento y esparcimiento;3;1;4
AIAT. Transporte turístico, autobuses, coches de caballo, alquiler de bicicletas u otros;2;2;4
EC. Turismo ecológico;1;3;4
Empresa de turismo activo;31;60;91
Oficina de turismo;7;32;39
Organización de congresos;5;5;10
Punto de información turística;3;1;4
REST. Restauracion y catering turístico;6;1;7
Vivienda con fines turísticos;116;7;123
