id,url,longitude,latitude,found,revised,host-id,room_type,bedrooms,capacity,reviews,min_nights,price
airbnb59d812068a46550354a9623b626,https://www.airbnb.es/rooms/14413513,-6.007783124687111,37.38653492068962,2017-08-14 16:09:29.266000,2017-10-01 15:06:16.407000,airbnb46270517,shared_room,1,1,3,1,20
airbnb59d812068a46550354a9623b627,https://www.airbnb.es/rooms/23517943,-6.007901172724615,37.386685627125985,2018-05-25 09:46:24.554000,2018-09-24 10:01:09.972000,airbnb23651200,entire_home,4,9,1,2,
airbnb59d812068a46550354a9623b628,https://www.airbnb.es/rooms/7594006,-6.00796351085826,37.38773287307693,2017-08-14 16:08:43.736000,2018-09-24 10:29:31.632000,airbnb12395642,entire_home,2,3,185,2,
airbnb59d812068a46550354a9623b629,https://www.airbnb.es/rooms/11663588,-6.0077692944885355,37.38776762229824,2017-08-14 16:08:30.311000,2018-09-24 11:09:18.046000,airbnb37924972,private_room,1,4,77,1,
airbnb59d812068a46550354a9623b630,https://www.airbnb.es/rooms/23761599,-6.007957163563578,37.3873604623231,2018-05-05 02:36:43.591000,2018-09-24 11:09:35.203000,airbnb47764917,entire_home,0,4,12,2,
airbnb59d812068a46550354a9623b631,https://www.airbnb.es/rooms/19684051,-6.007609163610514,37.38748692473858,2017-08-14 16:08:30.311000,2018-09-24 11:07:57.028000,airbnb624340,entire_home,3,6,58,2,
airbnb59d812068a46550354a9623b632,https://www.airbnb.es/rooms/16200935,-6.007215957933945,37.38773037892337,2017-08-14 16:08:30.311000,2018-09-24 09:53:54.323000,airbnb101476169,entire_home,4,8,114,1,
airbnb59d812068a46550354a9623b633,https://www.airbnb.es/rooms/19896822,-6.0071711226196225,37.38732853923904,2017-08-14 16:09:02.672000,2018-09-24 09:56:02.291000,airbnb140879544,private_room,1,2,12,1,
airbnb59d812068a46550354a9623b634,https://www.airbnb.es/rooms/24342306,-6.0071910298769655,37.38737526475141,2018-05-05 02:36:43.591000,2018-09-24 09:58:01.618000,airbnb183675654,private_room,0,1,0,6,
airbnb59d812068a46550354a9623b635,https://www.airbnb.es/rooms/8697260,-6.007307434519787,37.387154084318475,2017-08-14 16:08:56.616000,2017-10-01 15:06:51.526000,airbnb45660333,entire_home,1,2,16,2,45
airbnb59d812068a46550354a9623b636,https://www.airbnb.es/rooms/11809300,-6.007618676953393,37.38612407503306,2017-08-14 16:12:22.643000,2018-09-24 10:36:29.021000,airbnb62656192,private_room,1,6,40,2,
airbnb59d812068a46550354a9623b637,https://www.airbnb.es/rooms/383454,-6.007162578258214,37.38557795023219,2017-08-14 16:12:36.342000,2018-09-24 10:20:19.984000,airbnb1921016,private_room,0,16,52,1,
airbnb59d812068a46550354a9623b638,https://www.airbnb.es/rooms/17579582,-6.006777792102788,37.38565448169709,2017-08-14 16:12:22.643000,2018-09-24 10:19:37.572000,airbnb119408118,entire_home,2,3,19,2,
airbnb59d812068a46550354a9623b639,https://www.airbnb.es/rooms/27600792,-6.006802317297516,37.38636002117573,2018-08-28 00:51:43.681000,2018-09-24 10:16:35.677000,airbnb124297057,entire_home,3,6,0,2,
airbnb59d812068a46550354a9623b640,https://www.airbnb.es/rooms/762662,-6.006435158778098,37.385906153659725,2017-08-14 16:12:36.342000,2018-09-24 10:19:49.204000,airbnb1921016,private_room,0,2,1,1,
airbnb59d812068a46550354a9623b641,https://www.airbnb.es/rooms/17294998,-6.006242328762697,37.38650779255797,2017-08-14 16:08:35.634000,2017-10-01 15:07:27.431000,airbnb116668864,entire_home,1,4,16,1,50
airbnb59d812068a46550354a9623b642,https://www.airbnb.es/rooms/18408204,-6.006063547310444,37.3862567008901,2017-08-14 16:08:35.634000,2018-09-24 10:36:06.841000,airbnb56838814,entire_home,2,3,24,3,
airbnb59d812068a46550354a9623b643,https://www.airbnb.es/rooms/11934967,-6.006016285218333,37.38622317592711,2017-08-14 16:12:18.343000,2018-09-24 10:18:18.720000,airbnb37474431,entire_home,3,6,78,2,
airbnb59d812068a46550354a9623b644,https://www.airbnb.es/rooms/701999,-6.005782047285857,37.38628969793427,2017-08-14 16:08:35.634000,2018-09-24 10:16:00.043000,airbnb3603333,entire_home,3,6,60,3,
airbnb59d812068a46550354a9623b645,https://www.airbnb.es/rooms/11329661,-6.005965364439631,37.38602333251038,2017-08-14 16:12:22.643000,2018-09-24 10:13:32.451000,airbnb12395642,entire_home,2,3,170,2,
airbnb59d812068a46550354a9623b646,https://www.airbnb.es/rooms/23364190,-6.006,37.386,2018-05-25 09:45:36.658000,2018-09-24 10:16:13.729000,airbnb162296324,entire_home,2,4,5,2,
airbnb59d812068a46550354a9623b647,https://www.airbnb.es/rooms/22210020,-6.006,37.386,2018-05-25 09:45:39.413000,2018-09-24 10:17:32.992000,airbnb162296324,entire_home,3,6,3,3,
airbnb59d812068a46550354a9623b648,https://www.airbnb.es/rooms/18083405,-6.005923527953972,37.38589259851196,2018-05-25 09:45:44.956000,2018-05-31 19:04:10.045000,airbnb119408118,entire_home,2,4,0,4,108
airbnb59d812068a46550354a9623b649,https://www.airbnb.es/rooms/21331718,-6.006116842968295,37.38575213072639,2018-05-25 09:45:30.743000,2018-09-24 10:17:56.648000,airbnb154310975,entire_home,4,6,32,2,
airbnb59d812068a46550354a9623b650,https://www.airbnb.es/rooms/23220766,-6.006355289747776,37.385238163067164,2018-05-25 09:45:36.657000,2018-09-24 10:17:54.613000,airbnb162296324,entire_home,2,4,1,2,
airbnb59d812068a46550354a9623b651,https://www.airbnb.es/rooms/17628334,-6.005969735311192,37.38523866980523,2017-08-14 16:12:32.060000,2018-09-24 10:20:06.561000,airbnb119408118,entire_home,2,3,15,2,
airbnb59d812068a46550354a9623b652,https://www.airbnb.es/rooms/23364345,-6.005496902897485,37.385252110966164,2018-05-25 09:45:42.250000,2018-09-24 10:17:41.367000,airbnb162296324,entire_home,2,4,0,2,
airbnb59d812068a46550354a9623b653,https://www.airbnb.es/rooms/23297667,-6.005548991602866,37.38549143318066,2018-05-25 09:45:36.657000,2018-09-24 10:16:53.005000,airbnb162296324,entire_home,2,4,5,2,
airbnb59d812068a46550354a9623b654,https://www.airbnb.es/rooms/10898927,-6.005669226277144,37.385413976349405,2017-08-14 16:12:32.060000,2017-10-01 15:08:03.975000,airbnb22155944,entire_home,1,2,17,3,50
airbnb59d812068a46550354a9623b655,https://www.airbnb.es/rooms/18425483,-6.005612129193785,37.385763230318325,2017-08-14 16:12:06.306000,2018-09-24 10:11:27.923000,airbnb12395642,entire_home,2,3,72,2,
airbnb59d812068a46550354a9623b656,https://www.airbnb.es/rooms/23364266,-6.005565729647437,37.385648851521644,2018-05-25 09:45:39.412000,2018-09-24 10:17:06.334000,airbnb162296324,entire_home,2,4,3,2,
airbnb59d812068a46550354a9623b657,https://www.airbnb.es/rooms/9502019,-6.00530977046101,37.38577262228765,2017-08-14 16:12:18.343000,2018-09-24 10:36:56.414000,airbnb49244862,entire_home,3,5,59,2,
airbnb59d812068a46550354a9623b658,https://www.airbnb.es/rooms/22830889,-6.005214621685197,37.38585214561682,2018-05-07 11:48:11.707000,2018-09-22 03:14:22.864000,airbnb168771425,entire_home,3,6,4,1,
airbnb59d812068a46550354a9623b659,https://www.airbnb.es/rooms/24458521,-6.005138529485831,37.38583925122958,2018-05-07 11:48:11.707000,2018-06-01 22:01:03.567000,airbnb111692752,entire_home,0,6,0,1,144
airbnb59d812068a46550354a9623b660,https://www.airbnb.es/rooms/16871819,-6.00469167287685,37.38540485508972,2017-08-14 16:12:27.562000,2018-06-01 21:59:42.907000,airbnb20400088,entire_home,5,8,21,2,217
airbnb59d812068a46550354a9623b661,https://www.airbnb.es/rooms/927591,-6.004469322012811,37.3853890785022,2017-08-14 16:12:27.563000,2018-09-22 03:00:09.748000,airbnb2584848,entire_home,2,4,11,2,
airbnb59d812068a46550354a9623b662,https://www.airbnb.es/rooms/1128637,-6.004566848877699,37.38544013461216,2017-08-14 16:12:32.060000,2017-10-01 15:08:34.120000,airbnb6191897,private_room,1,2,38,2,59
airbnb59d812068a46550354a9623b663,https://www.airbnb.es/rooms/18393178,-6.004685719520228,37.38555018450554,2017-08-14 16:12:18.343000,2018-09-22 03:00:12.664000,airbnb127407046,entire_home,2,2,7,2,
airbnb59d812068a46550354a9623b664,https://www.airbnb.es/rooms/18034598,-6.0048083123720755,37.38576770762179,2017-08-14 16:12:10.159000,2018-09-22 02:54:35.908000,airbnb124051762,entire_home,3,6,28,2,
airbnb59d812068a46550354a9623b665,https://www.airbnb.es/rooms/22951606,-6.005,37.386,2018-05-25 09:46:24.554000,2018-05-31 19:16:11.774000,airbnb43465175,entire_home,3,6,2,2,108
airbnb59d812068a46550354a9623b666,https://www.airbnb.es/rooms/17298204,-6.005004767480909,37.385978213932965,2017-08-14 16:12:14.241000,2018-06-01 21:57:30.841000,airbnb116668864,entire_home,2,4,46,1,60
airbnb59d812068a46550354a9623b667,https://www.airbnb.es/rooms/26954821,-6.004876491219867,37.38611218360946,2018-08-27 05:02:34.493000,2018-09-22 03:12:28.638000,airbnb14958822,entire_home,2,4,4,1,
airbnb59d812068a46550354a9623b668,https://www.airbnb.es/rooms/10162495,-6.004861457192436,37.386091083541814,2017-08-14 16:12:22.643000,2018-09-22 03:11:27.004000,airbnb52164043,entire_home,2,4,31,3,
airbnb59d812068a46550354a9623b669,https://www.airbnb.es/rooms/19947002,-6.004577526765442,37.38600264167434,2017-08-14 16:12:06.306000,2018-09-22 02:50:02.845000,airbnb141370000,entire_home,2,4,48,2,
airbnb59d812068a46550354a9623b670,https://www.airbnb.es/rooms/9480827,-6.0045531246530315,37.386059212984144,2017-08-14 16:12:32.060000,2018-06-01 22:01:16.183000,airbnb49142334,entire_home,3,4,31,2,96
airbnb59d812068a46550354a9623b671,https://www.airbnb.es/rooms/23225824,-6.004472947397158,37.3865440372675,2018-05-07 11:50:16.810000,2018-09-22 03:07:10.260000,airbnb116668864,private_room,1,2,46,1,
airbnb59d812068a46550354a9623b672,https://www.airbnb.es/rooms/14003396,-6.004869244317736,37.38636786581846,2017-08-14 16:08:35.634000,2018-06-01 21:59:46.019000,airbnb25643998,entire_home,0,6,31,2,65
airbnb59d812068a46550354a9623b673,https://www.airbnb.es/rooms/13426690,-6.004987206413053,37.38657672354754,2017-08-14 16:08:30.310000,2018-09-22 03:06:26.517000,airbnb19949618,entire_home,2,4,181,2,
airbnb59d812068a46550354a9623b674,https://www.airbnb.es/rooms/17864898,-6.0052637563537035,37.38598490801005,2017-08-14 16:12:18.343000,2018-09-24 10:18:44.553000,airbnb34539002,entire_home,2,4,4,2,
airbnb59d812068a46550354a9623b675,https://www.airbnb.es/rooms/11665228,-6.005522112832989,37.38592244041646,2017-08-14 16:12:10.159000,2018-09-24 10:15:12.325000,airbnb61922167,entire_home,1,3,115,1,
airbnb59d812068a46550354a9623b676,https://www.airbnb.es/rooms/17843188,-6.005620218743712,37.38591597953249,2017-08-14 16:12:32.060000,2018-05-31 19:02:51.049000,airbnb56794843,entire_home,2,4,8,1,80
airbnb59d812068a46550354a9623b677,https://www.airbnb.es/rooms/23226140,-6.005606718587548,37.386422414251015,2018-05-25 09:45:30.744000,2018-09-24 10:14:28.582000,airbnb116668864,private_room,1,2,47,1,
airbnb59d812068a46550354a9623b678,https://www.airbnb.es/rooms/366257,-6.005510030020932,37.38657473526203,2017-08-14 16:08:35.634000,2018-09-24 09:51:28.526000,airbnb1848992,entire_home,1,2,272,2,
airbnb59d812068a46550354a9623b679,https://www.airbnb.es/rooms/23875138,-6.005615919420732,37.38694923731587,2018-05-25 09:46:21.635000,2018-05-31 19:15:30.863000,airbnb179375021,entire_home,3,6,6,2,78
airbnb59d812068a46550354a9623b680,https://www.airbnb.es/rooms/19423121,-6.005631369680674,37.38704082642812,2017-08-14 16:08:52.387000,2018-09-24 10:01:43.150000,airbnb42213756,entire_home,2,4,2,2,
airbnb59d812068a46550354a9623b681,https://www.airbnb.es/rooms/11180434,-6.005721694187581,37.386982473379085,2017-08-14 16:09:02.672000,2017-10-01 15:10:04.392000,airbnb56794843,entire_home,3,6,6,5,110
airbnb59d812068a46550354a9623b682,https://www.airbnb.es/rooms/5002242,-6.005592980917705,37.38722429143037,2017-08-14 16:08:47.920000,2018-09-24 11:05:49.989000,airbnb25643998,entire_home,0,6,74,2,
airbnb59d812068a46550354a9623b683,https://www.airbnb.es/rooms/25126710,-6.005484106087466,37.38712504789368,2018-05-25 09:46:21.635000,2018-09-24 09:55:16.852000,airbnb40772778,entire_home,2,4,7,2,
airbnb59d812068a46550354a9623b684,https://www.airbnb.es/rooms/23122451,-6.005295992529317,37.38703774969023,2018-05-25 09:46:21.635000,2018-09-24 11:13:50.744000,airbnb171818059,entire_home,2,4,5,2,
airbnb59d812068a46550354a9623b685,https://www.airbnb.es/rooms/18071000,-6.005179212212288,37.38701463636464,2017-08-14 16:08:52.387000,2017-10-01 15:10:16.420000,airbnb115307839,private_room,1,2,5,2,40
airbnb59d812068a46550354a9623b686,https://www.airbnb.es/rooms/19795523,-6.005214137223201,37.38696869867441,2017-08-14 16:08:30.311000,2018-09-22 03:08:18.670000,airbnb49109454,entire_home,1,2,44,1,
airbnb59d812068a46550354a9623b687,https://www.airbnb.es/rooms/19451290,-6.005181346814824,37.38684143771155,2017-08-14 16:08:39.626000,2018-09-22 03:12:42.099000,airbnb115669804,entire_home,2,4,2,2,
airbnb59d812068a46550354a9623b688,https://www.airbnb.es/rooms/23364332,-6.005390400569366,37.38668695438911,2018-05-25 09:46:24.554000,2018-09-24 09:56:40.776000,airbnb162296324,entire_home,2,4,1,2,
airbnb59d812068a46550354a9623b689,https://www.airbnb.es/rooms/23364296,-6.00531962540737,37.38663861097698,2018-05-25 09:46:24.555000,2018-09-24 10:00:58.695000,airbnb162296324,entire_home,3,6,0,2,
airbnb59d812068a46550354a9623b690,https://www.airbnb.es/rooms/3930318,-6.0049492204257495,37.38664772545004,2017-08-14 16:09:29.266000,2017-09-05 10:54:15.385000,airbnb20361087,private_room,1,1,5,1,25
airbnb59d812068a46550354a9623b691,https://www.airbnb.es/rooms/18120912,-6.004901383139409,37.38678980915851,2017-08-14 16:08:35.634000,2018-09-22 03:29:54.540000,airbnb3640880,entire_home,0,2,41,2,
airbnb59d812068a46550354a9623b692,https://www.airbnb.es/rooms/12795378,-6.004781094801219,37.38669926797843,2017-08-14 16:08:39.626000,2017-10-01 15:10:53.875000,airbnb67438246,entire_home,1,4,27,3,40
