"CD","DISTRITO","PROCEDENCIA","NACIONALIDAD","HOMBRES","MUJERES","TOTAL"
" 01","CASCO ANTIGUO","- TODOS -","ESPA�OLES",703,653,1356
" 01","CASCO ANTIGUO","- TODOS -","EXTRANJEROS",325,421,746
" 01","CASCO ANTIGUO","- TODOS -","TOTAL POBLACION",1028,1074,2102
" 01","CASCO ANTIGUO","ALEMANIA","ESPA�OLES",7,2,9
" 01","CASCO ANTIGUO","ALEMANIA","EXTRANJEROS",5,14,19
" 01","CASCO ANTIGUO","ALEMANIA","TOTAL POBLACION",12,16,28
" 01","CASCO ANTIGUO","ARGENTINA","EXTRANJEROS",7,6,13
" 01","CASCO ANTIGUO","ARGENTINA","TOTAL POBLACION",7,6,13
" 01","CASCO ANTIGUO","ARMENIA","EXTRANJEROS",0,1,1
" 01","CASCO ANTIGUO","ARMENIA","TOTAL POBLACION",0,1,1
" 01","CASCO ANTIGUO","AUSTRALIA","EXTRANJEROS",1,0,1
" 01","CASCO ANTIGUO","AUSTRALIA","TOTAL POBLACION",1,0,1
" 01","CASCO ANTIGUO","AUSTRIA","EXTRANJEROS",1,1,2
" 01","CASCO ANTIGUO","AUSTRIA","TOTAL POBLACION",1,1,2
" 01","CASCO ANTIGUO","BELGICA","EXTRANJEROS",2,2,4
" 01","CASCO ANTIGUO","BELGICA","TOTAL POBLACION",2,2,4
" 01","CASCO ANTIGUO","BOLIVIA","ESPA�OLES",2,1,3
" 01","CASCO ANTIGUO","BOLIVIA","EXTRANJEROS",1,6,7
" 01","CASCO ANTIGUO","BOLIVIA","TOTAL POBLACION",3,7,10
" 01","CASCO ANTIGUO","BRASIL","ESPA�OLES",1,0,1
" 01","CASCO ANTIGUO","BRASIL","EXTRANJEROS",7,7,14
" 01","CASCO ANTIGUO","BRASIL","TOTAL POBLACION",8,7,15
" 01","CASCO ANTIGUO","BULGARIA","EXTRANJEROS",2,2,4
" 01","CASCO ANTIGUO","BULGARIA","TOTAL POBLACION",2,2,4
" 01","CASCO ANTIGUO","CANADA","EXTRANJEROS",1,1,2
" 01","CASCO ANTIGUO","CANADA","TOTAL POBLACION",1,1,2
" 01","CASCO ANTIGUO","CHILE","ESPA�OLES",3,0,3
" 01","CASCO ANTIGUO","CHILE","EXTRANJEROS",4,2,6
" 01","CASCO ANTIGUO","CHILE","TOTAL POBLACION",7,2,9
" 01","CASCO ANTIGUO","CHINA","ESPA�OLES",3,0,3
" 01","CASCO ANTIGUO","CHINA","EXTRANJEROS",4,7,11
" 01","CASCO ANTIGUO","CHINA","TOTAL POBLACION",7,7,14
" 01","CASCO ANTIGUO","COLOMBIA","EXTRANJEROS",8,11,19
" 01","CASCO ANTIGUO","COLOMBIA","TOTAL POBLACION",8,11,19
" 01","CASCO ANTIGUO","COSTA DE MARFIL","EXTRANJEROS",2,0,2
" 01","CASCO ANTIGUO","COSTA DE MARFIL","TOTAL POBLACION",2,0,2
" 01","CASCO ANTIGUO","COSTA RICA","EXTRANJEROS",2,1,3
" 01","CASCO ANTIGUO","COSTA RICA","TOTAL POBLACION",2,1,3
" 01","CASCO ANTIGUO","CROACIA","EXTRANJEROS",0,1,1
" 01","CASCO ANTIGUO","CROACIA","TOTAL POBLACION",0,1,1
" 01","CASCO ANTIGUO","CUBA","ESPA�OLES",1,0,1
" 01","CASCO ANTIGUO","CUBA","TOTAL POBLACION",1,0,1
