"CD","DISTRITO","PROCEDENCIA","NACIONALIDAD","HOMBRES","MUJERES","TOTAL"
" 01","CASCO ANTIGUO","- TODOS -","ESPA�OLES",632,653,1285
" 01","CASCO ANTIGUO","- TODOS -","EXTRANJEROS",325,422,747
" 01","CASCO ANTIGUO","- TODOS -","TOTAL POBLACION",957,1075,2032
" 01","CASCO ANTIGUO","ALBANIA","EXTRANJEROS",3,0,3
" 01","CASCO ANTIGUO","ALBANIA","TOTAL POBLACION",3,0,3
" 01","CASCO ANTIGUO","ALEMANIA","ESPA�OLES",1,0,1
" 01","CASCO ANTIGUO","ALEMANIA","EXTRANJEROS",10,7,17
" 01","CASCO ANTIGUO","ALEMANIA","TOTAL POBLACION",11,7,18
" 01","CASCO ANTIGUO","ARGELIA","ESPA�OLES",1,0,1
" 01","CASCO ANTIGUO","ARGELIA","EXTRANJEROS",3,2,5
" 01","CASCO ANTIGUO","ARGELIA","TOTAL POBLACION",4,2,6
" 01","CASCO ANTIGUO","ARGENTINA","ESPA�OLES",2,1,3
" 01","CASCO ANTIGUO","ARGENTINA","EXTRANJEROS",9,11,20
" 01","CASCO ANTIGUO","ARGENTINA","TOTAL POBLACION",11,12,23
" 01","CASCO ANTIGUO","AUSTRALIA","EXTRANJEROS",1,1,2
" 01","CASCO ANTIGUO","AUSTRALIA","TOTAL POBLACION",1,1,2
" 01","CASCO ANTIGUO","AZERBAIYAN","EXTRANJEROS",0,2,2
" 01","CASCO ANTIGUO","AZERBAIYAN","TOTAL POBLACION",0,2,2
" 01","CASCO ANTIGUO","BAHAMAS","ESPA�OLES",0,1,1
" 01","CASCO ANTIGUO","BAHAMAS","TOTAL POBLACION",0,1,1
" 01","CASCO ANTIGUO","BELGICA","ESPA�OLES",1,0,1
" 01","CASCO ANTIGUO","BELGICA","EXTRANJEROS",1,2,3
" 01","CASCO ANTIGUO","BELGICA","TOTAL POBLACION",2,2,4
" 01","CASCO ANTIGUO","BIELORUSIA","EXTRANJEROS",0,1,1
" 01","CASCO ANTIGUO","BIELORUSIA","TOTAL POBLACION",0,1,1
" 01","CASCO ANTIGUO","BOLIVIA","EXTRANJEROS",1,1,2
" 01","CASCO ANTIGUO","BOLIVIA","TOTAL POBLACION",1,1,2
" 01","CASCO ANTIGUO","BRASIL","ESPA�OLES",2,4,6
" 01","CASCO ANTIGUO","BRASIL","EXTRANJEROS",2,4,6
" 01","CASCO ANTIGUO","BRASIL","TOTAL POBLACION",4,8,12
" 01","CASCO ANTIGUO","BULGARIA","EXTRANJEROS",1,2,3
" 01","CASCO ANTIGUO","BULGARIA","TOTAL POBLACION",1,2,3
" 01","CASCO ANTIGUO","CANADA","EXTRANJEROS",1,1,2
" 01","CASCO ANTIGUO","CANADA","TOTAL POBLACION",1,1,2
" 01","CASCO ANTIGUO","CHILE","ESPA�OLES",1,0,1
" 01","CASCO ANTIGUO","CHILE","EXTRANJEROS",2,2,4
" 01","CASCO ANTIGUO","CHILE","TOTAL POBLACION",3,2,5
" 01","CASCO ANTIGUO","CHINA","ESPA�OLES",1,2,3
" 01","CASCO ANTIGUO","CHINA","EXTRANJEROS",17,11,28
" 01","CASCO ANTIGUO","CHINA","TOTAL POBLACION",18,13,31
