"CD","DISTRITO","PROCEDENCIA","NACIONALIDAD","HOMBRES","MUJERES","TOTAL"
" 01","CASCO ANTIGUO","- TODOS -","ESPA�OLES",764,864,1628
" 01","CASCO ANTIGUO","- TODOS -","EXTRANJEROS",291,375,666
" 01","CASCO ANTIGUO","- TODOS -","TOTAL POBLACION",1055,1239,2294
" 01","CASCO ANTIGUO","ALBANIA","EXTRANJEROS",1,0,1
" 01","CASCO ANTIGUO","ALBANIA","TOTAL POBLACION",1,0,1
" 01","CASCO ANTIGUO","ALEMANIA","ESPA�OLES",4,4,8
" 01","CASCO ANTIGUO","ALEMANIA","EXTRANJEROS",8,15,23
" 01","CASCO ANTIGUO","ALEMANIA","TOTAL POBLACION",12,19,31
" 01","CASCO ANTIGUO","ARABIA SAUDITA","ESPA�OLES",1,0,1
" 01","CASCO ANTIGUO","ARABIA SAUDITA","TOTAL POBLACION",1,0,1
" 01","CASCO ANTIGUO","ARGELIA","EXTRANJEROS",2,2,4
" 01","CASCO ANTIGUO","ARGELIA","TOTAL POBLACION",2,2,4
" 01","CASCO ANTIGUO","ARGENTINA","ESPA�OLES",2,2,4
" 01","CASCO ANTIGUO","ARGENTINA","EXTRANJEROS",6,15,21
" 01","CASCO ANTIGUO","ARGENTINA","TOTAL POBLACION",8,17,25
" 01","CASCO ANTIGUO","AUSTRALIA","ESPA�OLES",2,2,4
" 01","CASCO ANTIGUO","AUSTRALIA","EXTRANJEROS",0,1,1
" 01","CASCO ANTIGUO","AUSTRALIA","TOTAL POBLACION",2,3,5
" 01","CASCO ANTIGUO","AUSTRIA","EXTRANJEROS",0,1,1
" 01","CASCO ANTIGUO","AUSTRIA","TOTAL POBLACION",0,1,1
" 01","CASCO ANTIGUO","BELGICA","ESPA�OLES",1,1,2
" 01","CASCO ANTIGUO","BELGICA","EXTRANJEROS",5,3,8
" 01","CASCO ANTIGUO","BELGICA","TOTAL POBLACION",6,4,10
" 01","CASCO ANTIGUO","BIELORUSIA","EXTRANJEROS",0,1,1
" 01","CASCO ANTIGUO","BIELORUSIA","TOTAL POBLACION",0,1,1
" 01","CASCO ANTIGUO","BRASIL","ESPA�OLES",0,2,2
" 01","CASCO ANTIGUO","BRASIL","EXTRANJEROS",10,12,22
" 01","CASCO ANTIGUO","BRASIL","TOTAL POBLACION",10,14,24
" 01","CASCO ANTIGUO","BULGARIA","EXTRANJEROS",1,2,3
" 01","CASCO ANTIGUO","BULGARIA","TOTAL POBLACION",1,2,3
" 01","CASCO ANTIGUO","CAMERUN","EXTRANJEROS",1,1,2
" 01","CASCO ANTIGUO","CAMERUN","TOTAL POBLACION",1,1,2
" 01","CASCO ANTIGUO","CANADA","ESPA�OLES",1,2,3
" 01","CASCO ANTIGUO","CANADA","EXTRANJEROS",0,1,1
" 01","CASCO ANTIGUO","CANADA","TOTAL POBLACION",1,3,4
" 01","CASCO ANTIGUO","CHILE","ESPA�OLES",5,3,8
" 01","CASCO ANTIGUO","CHILE","EXTRANJEROS",9,8,17
" 01","CASCO ANTIGUO","CHILE","TOTAL POBLACION",14,11,25
" 01","CASCO ANTIGUO","CHINA","ESPA�OLES",1,0,1
" 01","CASCO ANTIGUO","CHINA","EXTRANJEROS",3,7,10
" 01","CASCO ANTIGUO","CHINA","TOTAL POBLACION",4,7,11
" 01","CASCO ANTIGUO","COLOMBIA","ESPA�OLES",0,1,1
" 01","CASCO ANTIGUO","COLOMBIA","EXTRANJEROS",5,15,20
" 01","CASCO ANTIGUO","COLOMBIA","TOTAL POBLACION",5,16,21
" 01","CASCO ANTIGUO","COSTA RICA","ESPA�OLES",0,1,1
" 01","CASCO ANTIGUO","COSTA RICA","EXTRANJEROS",1,0,1
" 01","CASCO ANTIGUO","COSTA RICA","TOTAL POBLACION",1,1,2
" 01","CASCO ANTIGUO","CUBA","ESPA�OLES",2,0,2
" 01","CASCO ANTIGUO","CUBA","EXTRANJEROS",5,3,8
" 01","CASCO ANTIGUO","CUBA","TOTAL POBLACION",7,3,10
" 01","CASCO ANTIGUO","DINAMARCA","EXTRANJEROS",1,0,1
" 01","CASCO ANTIGUO","DINAMARCA","TOTAL POBLACION",1,0,1
" 01","CASCO ANTIGUO","ECUADOR","ESPA�OLES",1,1,2
" 01","CASCO ANTIGUO","ECUADOR","EXTRANJEROS",0,1,1
" 01","CASCO ANTIGUO","ECUADOR","TOTAL POBLACION",1,2,3
" 01","CASCO ANTIGUO","EL SALVADOR","ESPA�OLES",1,0,1
" 01","CASCO ANTIGUO","EL SALVADOR","EXTRANJEROS",1,2,3
" 01","CASCO ANTIGUO","EL SALVADOR","TOTAL POBLACION",2,2,4
" 01","CASCO ANTIGUO","EMIRATOS ARABES UNIDOS","EXTRANJEROS",1,1,2
" 01","CASCO ANTIGUO","EMIRATOS ARABES UNIDOS","TOTAL POBLACION",1,1,2
" 01","CASCO ANTIGUO","ESLOVAQUIA","EXTRANJEROS",0,2,2
" 01","CASCO ANTIGUO","ESLOVAQUIA","TOTAL POBLACION",0,2,2
" 01","CASCO ANTIGUO","ESPA�A","ESPA�OLES",712,808,1520
" 01","CASCO ANTIGUO","ESPA�A","EXTRANJEROS",69,73,142
" 01","CASCO ANTIGUO","ESPA�A","TOTAL POBLACION",781,881,1662
" 01","CASCO ANTIGUO","ESTADOS UNIDOS DE AMERICA","ESPA�OLES",12,6,18
" 01","CASCO ANTIGUO","ESTADOS UNIDOS DE AMERICA","EXTRANJEROS",20,30,50
" 01","CASCO ANTIGUO","ESTADOS UNIDOS DE AMERICA","TOTAL POBLACION",32,36,68
" 01","CASCO ANTIGUO","FILIPINAS","EXTRANJEROS",0,2,2
" 01","CASCO ANTIGUO","FILIPINAS","TOTAL POBLACION",0,2,2
" 01","CASCO ANTIGUO","FRANCIA","ESPA�OLES",2,7,9
" 01","CASCO ANTIGUO","FRANCIA","EXTRANJEROS",13,16,29
" 01","CASCO ANTIGUO","FRANCIA","TOTAL POBLACION",15,23,38
" 01","CASCO ANTIGUO","GEORGIA","EXTRANJEROS",4,3,7
" 01","CASCO ANTIGUO","GEORGIA","TOTAL POBLACION",4,3,7
" 01","CASCO ANTIGUO","GRECIA","ESPA�OLES",1,0,1
" 01","CASCO ANTIGUO","GRECIA","TOTAL POBLACION",1,0,1
" 01","CASCO ANTIGUO","GUATEMALA","EXTRANJEROS",1,1,2
" 01","CASCO ANTIGUO","GUATEMALA","TOTAL POBLACION",1,1,2
" 01","CASCO ANTIGUO","GUINEA ECUATORIAL","EXTRANJEROS",1,0,1
" 01","CASCO ANTIGUO","GUINEA ECUATORIAL","TOTAL POBLACION",1,0,1
" 01","CASCO ANTIGUO","HONDURAS","EXTRANJEROS",1,7,8
" 01","CASCO ANTIGUO","HONDURAS","TOTAL POBLACION",1,7,8
" 01","CASCO ANTIGUO","HUNGRIA","EXTRANJEROS",0,1,1
" 01","CASCO ANTIGUO","HUNGRIA","TOTAL POBLACION",0,1,1
" 01","CASCO ANTIGUO","INDIA","ESPA�OLES",2,1,3
" 01","CASCO ANTIGUO","INDIA","TOTAL POBLACION",2,1,3
" 01","CASCO ANTIGUO","IRLANDA","EXTRANJEROS",4,2,6
" 01","CASCO ANTIGUO","IRLANDA","TOTAL POBLACION",4,2,6
" 01","CASCO ANTIGUO","ISRAEL","EXTRANJEROS",0,3,3
" 01","CASCO ANTIGUO","ISRAEL","TOTAL POBLACION",0,3,3
" 01","CASCO ANTIGUO","ITALIA","ESPA�OLES",1,2,3
" 01","CASCO ANTIGUO","ITALIA","EXTRANJEROS",22,25,47
" 01","CASCO ANTIGUO","ITALIA","TOTAL POBLACION",23,27,50
" 01","CASCO ANTIGUO","JAPON","ESPA�OLES",1,2,3
" 01","CASCO ANTIGUO","JAPON","EXTRANJEROS",1,2,3
" 01","CASCO ANTIGUO","JAPON","TOTAL POBLACION",2,4,6
" 01","CASCO ANTIGUO","JORDANIA","ESPA�OLES",1,0,1
" 01","CASCO ANTIGUO","JORDANIA","TOTAL POBLACION",1,0,1
" 01","CASCO ANTIGUO","KENIA","EXTRANJEROS",0,1,1
" 01","CASCO ANTIGUO","KENIA","TOTAL POBLACION",0,1,1
" 01","CASCO ANTIGUO","KUWAIT","EXTRANJEROS",4,0,4
" 01","CASCO ANTIGUO","KUWAIT","TOTAL POBLACION",4,0,4
" 01","CASCO ANTIGUO","LITUANIA","EXTRANJEROS",0,3,3
" 01","CASCO ANTIGUO","LITUANIA","TOTAL POBLACION",0,3,3
" 01","CASCO ANTIGUO","MARRUECOS","ESPA�OLES",1,1,2
" 01","CASCO ANTIGUO","MARRUECOS","EXTRANJEROS",5,2,7
" 01","CASCO ANTIGUO","MARRUECOS","TOTAL POBLACION",6,3,9
" 01","CASCO ANTIGUO","MEXICO","ESPA�OLES",1,0,1
" 01","CASCO ANTIGUO","MEXICO","EXTRANJEROS",6,10,16
" 01","CASCO ANTIGUO","MEXICO","TOTAL POBLACION",7,10,17
" 01","CASCO ANTIGUO","NICARAGUA","EXTRANJEROS",1,11,12
" 01","CASCO ANTIGUO","NICARAGUA","TOTAL POBLACION",1,11,12
" 01","CASCO ANTIGUO","NIGERIA","EXTRANJEROS",1,0,1
" 01","CASCO ANTIGUO","NIGERIA","TOTAL POBLACION",1,0,1
" 01","CASCO ANTIGUO","NUEVA ZELANDA","EXTRANJEROS",2,2,4
" 01","CASCO ANTIGUO","NUEVA ZELANDA","TOTAL POBLACION",2,2,4
" 01","CASCO ANTIGUO","OMAN","ESPA�OLES",1,0,1
" 01","CASCO ANTIGUO","OMAN","TOTAL POBLACION",1,0,1
" 01","CASCO ANTIGUO","PAISES BAJOS","ESPA�OLES",2,5,7
" 01","CASCO ANTIGUO","PAISES BAJOS","EXTRANJEROS",11,11,22
" 01","CASCO ANTIGUO","PAISES BAJOS","TOTAL POBLACION",13,16,29
" 01","CASCO ANTIGUO","PAKISTAN","EXTRANJEROS",3,0,3
" 01","CASCO ANTIGUO","PAKISTAN","TOTAL POBLACION",3,0,3
" 01","CASCO ANTIGUO","PALESTINA. ESTADO OBSERVADOR, NO MIEMBRO DE NACIONES UNIDAS","EXTRANJEROS",1,2,3
" 01","CASCO ANTIGUO","PALESTINA. ESTADO OBSERVADOR, NO MIEMBRO DE NACIONES UNIDAS","TOTAL POBLACION",1,2,3
" 01","CASCO ANTIGUO","PANAMA","EXTRANJEROS",1,0,1
" 01","CASCO ANTIGUO","PANAMA","TOTAL POBLACION",1,0,1
" 01","CASCO ANTIGUO","PARAGUAY","EXTRANJEROS",1,1,2
" 01","CASCO ANTIGUO","PARAGUAY","TOTAL POBLACION",1,1,2
" 01","CASCO ANTIGUO","PERU","ESPA�OLES",1,1,2
" 01","CASCO ANTIGUO","PERU","EXTRANJEROS",4,8,12
