"CD","DISTRITO","PROCEDENCIA","NACIONALIDAD","HOMBRES","MUJERES","TOTAL"
" 01","CASCO ANTIGUO","- TODOS -","ESPA�OLES",666,771,1437
" 01","CASCO ANTIGUO","- TODOS -","EXTRANJEROS",291,318,609
" 01","CASCO ANTIGUO","- TODOS -","TOTAL POBLACION",957,1089,2046
" 01","CASCO ANTIGUO","ALEMANIA","ESPA�OLES",4,3,7
" 01","CASCO ANTIGUO","ALEMANIA","EXTRANJEROS",6,5,11
" 01","CASCO ANTIGUO","ALEMANIA","TOTAL POBLACION",10,8,18
" 01","CASCO ANTIGUO","ANGOLA","ESPA�OLES",0,1,1
" 01","CASCO ANTIGUO","ANGOLA","TOTAL POBLACION",0,1,1
" 01","CASCO ANTIGUO","ARABIA SAUDITA","ESPA�OLES",0,1,1
" 01","CASCO ANTIGUO","ARABIA SAUDITA","TOTAL POBLACION",0,1,1
" 01","CASCO ANTIGUO","ARGELIA","EXTRANJEROS",1,0,1
" 01","CASCO ANTIGUO","ARGELIA","TOTAL POBLACION",1,0,1
" 01","CASCO ANTIGUO","ARGENTINA","ESPA�OLES",0,4,4
" 01","CASCO ANTIGUO","ARGENTINA","EXTRANJEROS",8,6,14
" 01","CASCO ANTIGUO","ARGENTINA","TOTAL POBLACION",8,10,18
" 01","CASCO ANTIGUO","ARMENIA","EXTRANJEROS",0,1,1
" 01","CASCO ANTIGUO","ARMENIA","TOTAL POBLACION",0,1,1
" 01","CASCO ANTIGUO","AUSTRALIA","ESPA�OLES",0,1,1
" 01","CASCO ANTIGUO","AUSTRALIA","TOTAL POBLACION",0,1,1
" 01","CASCO ANTIGUO","AUSTRIA","EXTRANJEROS",0,1,1
" 01","CASCO ANTIGUO","AUSTRIA","TOTAL POBLACION",0,1,1
" 01","CASCO ANTIGUO","AZERBAIYAN","ESPA�OLES",0,1,1
" 01","CASCO ANTIGUO","AZERBAIYAN","TOTAL POBLACION",0,1,1
" 01","CASCO ANTIGUO","BELGICA","ESPA�OLES",1,0,1
" 01","CASCO ANTIGUO","BELGICA","EXTRANJEROS",1,2,3
" 01","CASCO ANTIGUO","BELGICA","TOTAL POBLACION",2,2,4
" 01","CASCO ANTIGUO","BOLIVIA","EXTRANJEROS",1,1,2
" 01","CASCO ANTIGUO","BOLIVIA","TOTAL POBLACION",1,1,2
" 01","CASCO ANTIGUO","BRASIL","ESPA�OLES",0,1,1
" 01","CASCO ANTIGUO","BRASIL","EXTRANJEROS",0,10,10
" 01","CASCO ANTIGUO","BRASIL","TOTAL POBLACION",0,11,11
" 01","CASCO ANTIGUO","BULGARIA","EXTRANJEROS",1,1,2
" 01","CASCO ANTIGUO","BULGARIA","TOTAL POBLACION",1,1,2
" 01","CASCO ANTIGUO","CANADA","ESPA�OLES",1,1,2
" 01","CASCO ANTIGUO","CANADA","EXTRANJEROS",1,2,3
" 01","CASCO ANTIGUO","CANADA","TOTAL POBLACION",2,3,5
" 01","CASCO ANTIGUO","CHILE","ESPA�OLES",1,3,4
" 01","CASCO ANTIGUO","CHILE","EXTRANJEROS",1,3,4
" 01","CASCO ANTIGUO","CHILE","TOTAL POBLACION",2,6,8
" 01","CASCO ANTIGUO","CHINA","ESPA�OLES",1,0,1
" 01","CASCO ANTIGUO","CHINA","EXTRANJEROS",5,8,13
" 01","CASCO ANTIGUO","CHINA","TOTAL POBLACION",6,8,14
" 01","CASCO ANTIGUO","COLOMBIA","ESPA�OLES",2,0,2
" 01","CASCO ANTIGUO","COLOMBIA","EXTRANJEROS",3,1,4
" 01","CASCO ANTIGUO","COLOMBIA","TOTAL POBLACION",5,1,6
" 01","CASCO ANTIGUO","CONGO","EXTRANJEROS",1,0,1
" 01","CASCO ANTIGUO","CONGO","TOTAL POBLACION",1,0,1
" 01","CASCO ANTIGUO","CUBA","ESPA�OLES",0,1,1
" 01","CASCO ANTIGUO","CUBA","EXTRANJEROS",5,1,6
" 01","CASCO ANTIGUO","CUBA","TOTAL POBLACION",5,2,7
" 01","CASCO ANTIGUO","DINAMARCA","EXTRANJEROS",2,3,5
" 01","CASCO ANTIGUO","DINAMARCA","TOTAL POBLACION",2,3,5
" 01","CASCO ANTIGUO","ECUADOR","ESPA�OLES",1,1,2
" 01","CASCO ANTIGUO","ECUADOR","EXTRANJEROS",2,1,3
" 01","CASCO ANTIGUO","ECUADOR","TOTAL POBLACION",3,2,5
" 01","CASCO ANTIGUO","EL SALVADOR","EXTRANJEROS",0,1,1
" 01","CASCO ANTIGUO","EL SALVADOR","TOTAL POBLACION",0,1,1
" 01","CASCO ANTIGUO","EMIRATOS ARABES UNIDOS","ESPA�OLES",3,1,4
" 01","CASCO ANTIGUO","EMIRATOS ARABES UNIDOS","TOTAL POBLACION",3,1,4
" 01","CASCO ANTIGUO","ESLOVAQUIA","EXTRANJEROS",0,2,2
" 01","CASCO ANTIGUO","ESLOVAQUIA","TOTAL POBLACION",0,2,2
" 01","CASCO ANTIGUO","ESPA�A","ESPA�OLES",614,709,1323
" 01","CASCO ANTIGUO","ESPA�A","EXTRANJEROS",95,87,182
" 01","CASCO ANTIGUO","ESPA�A","TOTAL POBLACION",709,796,1505
" 01","CASCO ANTIGUO","ESTADOS UNIDOS DE AMERICA","ESPA�OLES",10,7,17
" 01","CASCO ANTIGUO","ESTADOS UNIDOS DE AMERICA","EXTRANJEROS",21,15,36
" 01","CASCO ANTIGUO","ESTADOS UNIDOS DE AMERICA","TOTAL POBLACION",31,22,53
" 01","CASCO ANTIGUO","FINLANDIA","EXTRANJEROS",1,0,1
" 01","CASCO ANTIGUO","FINLANDIA","TOTAL POBLACION",1,0,1
" 01","CASCO ANTIGUO","FRANCIA","ESPA�OLES",3,5,8
" 01","CASCO ANTIGUO","FRANCIA","EXTRANJEROS",19,22,41
" 01","CASCO ANTIGUO","FRANCIA","TOTAL POBLACION",22,27,49
" 01","CASCO ANTIGUO","GRECIA","EXTRANJEROS",0,4,4
" 01","CASCO ANTIGUO","GRECIA","TOTAL POBLACION",0,4,4
" 01","CASCO ANTIGUO","GUATEMALA","ESPA�OLES",1,1,2
" 01","CASCO ANTIGUO","GUATEMALA","EXTRANJEROS",0,3,3
" 01","CASCO ANTIGUO","GUATEMALA","TOTAL POBLACION",1,4,5
" 01","CASCO ANTIGUO","INDIA","ESPA�OLES",1,0,1
" 01","CASCO ANTIGUO","INDIA","TOTAL POBLACION",1,0,1
" 01","CASCO ANTIGUO","INDONESIA","EXTRANJEROS",1,0,1
" 01","CASCO ANTIGUO","INDONESIA","TOTAL POBLACION",1,0,1
" 01","CASCO ANTIGUO","IRAK","EXTRANJEROS",3,0,3
" 01","CASCO ANTIGUO","IRAK","TOTAL POBLACION",3,0,3
" 01","CASCO ANTIGUO","IRLANDA","EXTRANJEROS",3,5,8
" 01","CASCO ANTIGUO","IRLANDA","TOTAL POBLACION",3,5,8
" 01","CASCO ANTIGUO","ISRAEL","ESPA�OLES",1,0,1
" 01","CASCO ANTIGUO","ISRAEL","EXTRANJEROS",0,1,1
" 01","CASCO ANTIGUO","ISRAEL","TOTAL POBLACION",1,1,2
" 01","CASCO ANTIGUO","ITALIA","ESPA�OLES",1,2,3
" 01","CASCO ANTIGUO","ITALIA","EXTRANJEROS",24,26,50
" 01","CASCO ANTIGUO","ITALIA","TOTAL POBLACION",25,28,53
" 01","CASCO ANTIGUO","JAPON","EXTRANJEROS",1,1,2
" 01","CASCO ANTIGUO","JAPON","TOTAL POBLACION",1,1,2
" 01","CASCO ANTIGUO","LETONIA","EXTRANJEROS",0,2,2
" 01","CASCO ANTIGUO","LETONIA","TOTAL POBLACION",0,2,2
" 01","CASCO ANTIGUO","LITUANIA","EXTRANJEROS",3,2,5
