"CD","DISTRITO","PROCEDENCIA","NACIONALIDAD","HOMBRES","MUJERES","TOTAL"
" 01","CASCO ANTIGUO","- TODOS -","ESPA�OLES",615,718,1333
" 01","CASCO ANTIGUO","- TODOS -","EXTRANJEROS",251,304,555
" 01","CASCO ANTIGUO","- TODOS -","TOTAL POBLACION",866,1022,1888
" 01","CASCO ANTIGUO","ALBANIA","EXTRANJEROS",0,3,3
" 01","CASCO ANTIGUO","ALBANIA","TOTAL POBLACION",0,3,3
" 01","CASCO ANTIGUO","ALEMANIA","ESPA�OLES",1,2,3
" 01","CASCO ANTIGUO","ALEMANIA","EXTRANJEROS",10,5,15
" 01","CASCO ANTIGUO","ALEMANIA","TOTAL POBLACION",11,7,18
" 01","CASCO ANTIGUO","ARGENTINA","ESPA�OLES",0,3,3
" 01","CASCO ANTIGUO","ARGENTINA","EXTRANJEROS",3,4,7
" 01","CASCO ANTIGUO","ARGENTINA","TOTAL POBLACION",3,7,10
" 01","CASCO ANTIGUO","AUSTRALIA","ESPA�OLES",0,1,1
" 01","CASCO ANTIGUO","AUSTRALIA","EXTRANJEROS",0,1,1
" 01","CASCO ANTIGUO","AUSTRALIA","TOTAL POBLACION",0,2,2
" 01","CASCO ANTIGUO","BELGICA","ESPA�OLES",2,1,3
" 01","CASCO ANTIGUO","BELGICA","EXTRANJEROS",2,1,3
" 01","CASCO ANTIGUO","BELGICA","TOTAL POBLACION",4,2,6
" 01","CASCO ANTIGUO","BOLIVIA","EXTRANJEROS",1,1,2
" 01","CASCO ANTIGUO","BOLIVIA","TOTAL POBLACION",1,1,2
" 01","CASCO ANTIGUO","BRASIL","ESPA�OLES",0,2,2
" 01","CASCO ANTIGUO","BRASIL","EXTRANJEROS",1,4,5
" 01","CASCO ANTIGUO","BRASIL","TOTAL POBLACION",1,6,7
" 01","CASCO ANTIGUO","BULGARIA","EXTRANJEROS",1,1,2
" 01","CASCO ANTIGUO","BULGARIA","TOTAL POBLACION",1,1,2
" 01","CASCO ANTIGUO","CAMERUN","EXTRANJEROS",1,0,1
" 01","CASCO ANTIGUO","CAMERUN","TOTAL POBLACION",1,0,1
" 01","CASCO ANTIGUO","CANADA","EXTRANJEROS",0,1,1
" 01","CASCO ANTIGUO","CANADA","TOTAL POBLACION",0,1,1
" 01","CASCO ANTIGUO","CHILE","ESPA�OLES",0,1,1
" 01","CASCO ANTIGUO","CHILE","EXTRANJEROS",2,4,6
" 01","CASCO ANTIGUO","CHILE","TOTAL POBLACION",2,5,7
" 01","CASCO ANTIGUO","CHINA","ESPA�OLES",1,1,2
" 01","CASCO ANTIGUO","CHINA","EXTRANJEROS",2,8,10
" 01","CASCO ANTIGUO","CHINA","TOTAL POBLACION",3,9,12
" 01","CASCO ANTIGUO","COLOMBIA","ESPA�OLES",0,1,1
" 01","CASCO ANTIGUO","COLOMBIA","EXTRANJEROS",2,4,6
" 01","CASCO ANTIGUO","COLOMBIA","TOTAL POBLACION",2,5,7
" 01","CASCO ANTIGUO","COSTA DE MARFIL","EXTRANJEROS",2,2,4
" 01","CASCO ANTIGUO","COSTA DE MARFIL","TOTAL POBLACION",2,2,4
" 01","CASCO ANTIGUO","CUBA","EXTRANJEROS",2,2,4
" 01","CASCO ANTIGUO","CUBA","TOTAL POBLACION",2,2,4
" 01","CASCO ANTIGUO","DINAMARCA","EXTRANJEROS",2,2,4
" 01","CASCO ANTIGUO","DINAMARCA","TOTAL POBLACION",2,2,4
" 01","CASCO ANTIGUO","ECUADOR","EXTRANJEROS",2,1,3
" 01","CASCO ANTIGUO","ECUADOR","TOTAL POBLACION",2,1,3
" 01","CASCO ANTIGUO","EGIPTO","ESPA�OLES",1,0,1
" 01","CASCO ANTIGUO","EGIPTO","EXTRANJEROS",1,0,1
" 01","CASCO ANTIGUO","EGIPTO","TOTAL POBLACION",2,0,2
" 01","CASCO ANTIGUO","EL SALVADOR","EXTRANJEROS",0,1,1
" 01","CASCO ANTIGUO","EL SALVADOR","TOTAL POBLACION",0,1,1
" 01","CASCO ANTIGUO","EMIRATOS ARABES UNIDOS","ESPA�OLES",2,1,3
" 01","CASCO ANTIGUO","EMIRATOS ARABES UNIDOS","TOTAL POBLACION",2,1,3
" 01","CASCO ANTIGUO","ESLOVAQUIA","EXTRANJEROS",1,0,1
" 01","CASCO ANTIGUO","ESLOVAQUIA","TOTAL POBLACION",1,0,1
" 01","CASCO ANTIGUO","ESPA�A","ESPA�OLES",596,689,1285
" 01","CASCO ANTIGUO","ESPA�A","EXTRANJEROS",113,139,252
" 01","CASCO ANTIGUO","ESPA�A","TOTAL POBLACION",709,828,1537
" 01","CASCO ANTIGUO","ESTADOS UNIDOS DE AMERICA","ESPA�OLES",0,1,1
" 01","CASCO ANTIGUO","ESTADOS UNIDOS DE AMERICA","EXTRANJEROS",8,11,19
" 01","CASCO ANTIGUO","ESTADOS UNIDOS DE AMERICA","TOTAL POBLACION",8,12,20
" 01","CASCO ANTIGUO","FILIPINAS","ESPA�OLES",1,1,2
" 01","CASCO ANTIGUO","FILIPINAS","EXTRANJEROS",1,0,1
" 01","CASCO ANTIGUO","FILIPINAS","TOTAL POBLACION",2,1,3
" 01","CASCO ANTIGUO","FRANCIA","ESPA�OLES",2,1,3
" 01","CASCO ANTIGUO","FRANCIA","EXTRANJEROS",12,19,31
" 01","CASCO ANTIGUO","FRANCIA","TOTAL POBLACION",14,20,34
" 01","CASCO ANTIGUO","GRECIA","EXTRANJEROS",2,6,8
" 01","CASCO ANTIGUO","GRECIA","TOTAL POBLACION",2,6,8
" 01","CASCO ANTIGUO","GUATEMALA","EXTRANJEROS",0,2,2
" 01","CASCO ANTIGUO","GUATEMALA","TOTAL POBLACION",0,2,2
" 01","CASCO ANTIGUO","HONDURAS","EXTRANJEROS",2,4,6
" 01","CASCO ANTIGUO","HONDURAS","TOTAL POBLACION",2,4,6
" 01","CASCO ANTIGUO","IRLANDA","ESPA�OLES",1,0,1
" 01","CASCO ANTIGUO","IRLANDA","EXTRANJEROS",3,2,5
" 01","CASCO ANTIGUO","IRLANDA","TOTAL POBLACION",4,2,6
" 01","CASCO ANTIGUO","ITALIA","ESPA�OLES",0,1,1
" 01","CASCO ANTIGUO","ITALIA","EXTRANJEROS",26,15,41
" 01","CASCO ANTIGUO","ITALIA","TOTAL POBLACION",26,16,42
" 01","CASCO ANTIGUO","JORDANIA","EXTRANJEROS",2,0,2
" 01","CASCO ANTIGUO","JORDANIA","TOTAL POBLACION",2,0,2
" 01","CASCO ANTIGUO","KAZAJSTAN","EXTRANJEROS",1,1,2
" 01","CASCO ANTIGUO","KAZAJSTAN","TOTAL POBLACION",1,1,2
" 01","CASCO ANTIGUO","LIBANO","EXTRANJEROS",1,2,3
" 01","CASCO ANTIGUO","LIBANO","TOTAL POBLACION",1,2,3
" 01","CASCO ANTIGUO","MALASIA","ESPA�OLES",1,1,2
" 01","CASCO ANTIGUO","MALASIA","TOTAL POBLACION",1,1,2
" 01","CASCO ANTIGUO","MALI","EXTRANJEROS",0,1,1
" 01","CASCO ANTIGUO","MALI","TOTAL POBLACION",0,1,1
" 01","CASCO ANTIGUO","MARRUECOS","ESPA�OLES",0,2,2
" 01","CASCO ANTIGUO","MARRUECOS","EXTRANJEROS",3,4,7
" 01","CASCO ANTIGUO","MARRUECOS","TOTAL POBLACION",3,6,9
" 01","CASCO ANTIGUO","MEXICO","ESPA�OLES",0,3,3
" 01","CASCO ANTIGUO","MEXICO","EXTRANJEROS",2,6,8
" 01","CASCO ANTIGUO","MEXICO","TOTAL POBLACION",2,9,11
" 01","CASCO ANTIGUO","MOLDAVIA","EXTRANJEROS",0,1,1
" 01","CASCO ANTIGUO","MOLDAVIA","TOTAL POBLACION",0,1,1
" 01","CASCO ANTIGUO","NICARAGUA","EXTRANJEROS",0,3,3
" 01","CASCO ANTIGUO","NICARAGUA","TOTAL POBLACION",0,3,3
" 01","CASCO ANTIGUO","NUEVA ZELANDA","EXTRANJEROS",1,0,1
" 01","CASCO ANTIGUO","NUEVA ZELANDA","TOTAL POBLACION",1,0,1
" 01","CASCO ANTIGUO","OMAN","ESPA�OLES",0,1,1
" 01","CASCO ANTIGUO","OMAN","TOTAL POBLACION",0,1,1
" 01","CASCO ANTIGUO","PAISES BAJOS","EXTRANJEROS",1,2,3
" 01","CASCO ANTIGUO","PAISES BAJOS","TOTAL POBLACION",1,2,3
" 01","CASCO ANTIGUO","PAKISTAN","EXTRANJEROS",1,0,1
" 01","CASCO ANTIGUO","PAKISTAN","TOTAL POBLACION",1,0,1
" 01","CASCO ANTIGUO","PANAMA","ESPA�OLES",0,1,1
" 01","CASCO ANTIGUO","PANAMA","TOTAL POBLACION",0,1,1
" 01","CASCO ANTIGUO","PERU","EXTRANJEROS",2,3,5
" 01","CASCO ANTIGUO","PERU","TOTAL POBLACION",2,3,5
" 01","CASCO ANTIGUO","POLONIA","EXTRANJEROS",1,0,1
" 01","CASCO ANTIGUO","POLONIA","TOTAL POBLACION",1,0,1
" 01","CASCO ANTIGUO","PORTUGAL","ESPA�OLES",0,1,1
" 01","CASCO ANTIGUO","PORTUGAL","EXTRANJEROS",2,4,6
" 01","CASCO ANTIGUO","PORTUGAL","TOTAL POBLACION",2,5,7
