"CD","DISTRITO","PROCEDENCIA","NACIONALIDAD","HOMBRES","MUJERES","TOTAL"
" 01","CASCO ANTIGUO","- TODOS -","ESPA�OLES",811,804,1615
" 01","CASCO ANTIGUO","- TODOS -","EXTRANJEROS",204,333,537
" 01","CASCO ANTIGUO","- TODOS -","TOTAL POBLACION",1015,1137,2152
" 01","CASCO ANTIGUO","ALBANIA","EXTRANJEROS",1,0,1
" 01","CASCO ANTIGUO","ALBANIA","TOTAL POBLACION",1,0,1
" 01","CASCO ANTIGUO","ALEMANIA","ESPA�OLES",3,3,6
" 01","CASCO ANTIGUO","ALEMANIA","EXTRANJEROS",8,13,21
" 01","CASCO ANTIGUO","ALEMANIA","TOTAL POBLACION",11,16,27
" 01","CASCO ANTIGUO","ANGOLA","ESPA�OLES",1,0,1
" 01","CASCO ANTIGUO","ANGOLA","TOTAL POBLACION",1,0,1
" 01","CASCO ANTIGUO","ARGENTINA","ESPA�OLES",1,3,4
" 01","CASCO ANTIGUO","ARGENTINA","EXTRANJEROS",5,5,10
" 01","CASCO ANTIGUO","ARGENTINA","TOTAL POBLACION",6,8,14
" 01","CASCO ANTIGUO","AUSTRALIA","ESPA�OLES",0,1,1
" 01","CASCO ANTIGUO","AUSTRALIA","EXTRANJEROS",2,1,3
" 01","CASCO ANTIGUO","AUSTRALIA","TOTAL POBLACION",2,2,4
" 01","CASCO ANTIGUO","AUSTRIA","ESPA�OLES",1,1,2
" 01","CASCO ANTIGUO","AUSTRIA","EXTRANJEROS",0,1,1
" 01","CASCO ANTIGUO","AUSTRIA","TOTAL POBLACION",1,2,3
" 01","CASCO ANTIGUO","BELGICA","EXTRANJEROS",0,4,4
" 01","CASCO ANTIGUO","BELGICA","TOTAL POBLACION",0,4,4
" 01","CASCO ANTIGUO","BOLIVIA","ESPA�OLES",0,1,1
" 01","CASCO ANTIGUO","BOLIVIA","EXTRANJEROS",0,1,1
" 01","CASCO ANTIGUO","BOLIVIA","TOTAL POBLACION",0,2,2
" 01","CASCO ANTIGUO","BRASIL","ESPA�OLES",1,0,1
" 01","CASCO ANTIGUO","BRASIL","EXTRANJEROS",2,9,11
" 01","CASCO ANTIGUO","BRASIL","TOTAL POBLACION",3,9,12
" 01","CASCO ANTIGUO","CANADA","EXTRANJEROS",4,4,8
" 01","CASCO ANTIGUO","CANADA","TOTAL POBLACION",4,4,8
" 01","CASCO ANTIGUO","CHILE","ESPA�OLES",3,1,4
" 01","CASCO ANTIGUO","CHILE","TOTAL POBLACION",3,1,4
" 01","CASCO ANTIGUO","CHINA","ESPA�OLES",2,0,2
" 01","CASCO ANTIGUO","CHINA","EXTRANJEROS",4,6,10
" 01","CASCO ANTIGUO","CHINA","TOTAL POBLACION",6,6,12
" 01","CASCO ANTIGUO","COLOMBIA","ESPA�OLES",1,1,2
" 01","CASCO ANTIGUO","COLOMBIA","EXTRANJEROS",0,1,1
" 01","CASCO ANTIGUO","COLOMBIA","TOTAL POBLACION",1,2,3
" 01","CASCO ANTIGUO","COSTA RICA","EXTRANJEROS",0,1,1
" 01","CASCO ANTIGUO","COSTA RICA","TOTAL POBLACION",0,1,1
" 01","CASCO ANTIGUO","CUBA","ESPA�OLES",1,0,1
" 01","CASCO ANTIGUO","CUBA","EXTRANJEROS",3,2,5
" 01","CASCO ANTIGUO","CUBA","TOTAL POBLACION",4,2,6
" 01","CASCO ANTIGUO","DINAMARCA","EXTRANJEROS",0,1,1
" 01","CASCO ANTIGUO","DINAMARCA","TOTAL POBLACION",0,1,1
