;Septiembre;Diciembre
1. Bellavista-Jardines de Hércules;1 338;1 291
2. Centro;2 488;2 512
3. Cerro Amate;891;890
4. La Palmera-Los Bermejales;1 860;1 883
5. Los Remedios;2 132;2 135
6. Macarena;1 200;1 129
7. Nervión;2 144;2 179
8. Parque Alcosa;947;960
9. Pino Montano;1 060;1 064
10. San jerónimo;933;929
11. San Pablo;1 036;1 031
12. Santa Clara;0;0
13. Santa Justa-Miraflores-Cruz Roja;1 481;1 526
14. Sevilla Este;1 397;1 395
15. Torreblanca;653;0
16. Triana;1 952;2 029
