DISTRITO;2018
BELLAVISTA LA PALMERA;20
CASCO ANTIGUO;300
CERRO AMATE;18
ESTE ALCOSA TORREBLANCA;8
LOS REMEDIOS;22
MACARENA;33
NERVIÓN;49
NORTE;11
SAN PABLO SANTA JUSTA;21
SUR;25
TRIANA;51
TOTAL;558
