DISTRITO;2016
BELLAVISTA LA PALMERA;20
CASCO ANTIGUO;115
CERRO AMATE;6
ESTE ALCOSA TORREBLANCA;7
LOS REMEDIOS;9
MACARENA;14
NERVIÓN;22
NORTE;11
SAN PABLO SANTA JUSTA;12
SUR;17
TRIANA;34
TOTAL;267
