DISTRITO;2020
BELLAVISTA LA PALMERA;73
CASCO ANTIGUO;486
CERRO AMATE;32
ESTE ALCOSA TORREBLANCA;32
LOS REMEDIOS;37
MACARENA;45
NERVIÓN;106
NORTE;19
SAN PABLO SANTA JUSTA;51
SUR;46
TRIANA;83
TOTAL;1010
