DISTRITO;2019
BELLAVISTA LA PALMERA;47
CASCO ANTIGUO;427
CERRO AMATE;20
ESTE ALCOSA TORREBLANCA;31
LOS REMEDIOS;32
MACARENA;43
NERVIÓN;66
NORTE;18
SAN PABLO SANTA JUSTA;27
SUR;53
TRIANA;71
TOTAL;835
