id,url,longitude,latitude,found,revised,host-id,room_type,bedrooms,capacity,reviews,min_nights,price
airbnb59d812058a46550354a962324594,https://www.airbnb.es/rooms/16807482,-5.985997688798884,37.39087672995197,2017-08-14 16:15:52.123000,2017-09-05 09:52:26.801000,airbnb33561978,private_room,1,2,15,1,20
airbnb59d812058a46550354a962324595,https://www.airbnb.es/rooms/15695787,-5.985910586310297,37.39076776461698,2017-08-14 16:16:04.094000,2017-09-05 09:52:32.002000,airbnb983968,entire_home,0,2,1,2,52
airbnb59d812058a46550354a962324596,https://www.airbnb.es/rooms/18662376,-5.986002213565713,37.39068529203598,2017-08-14 16:15:33.996000,2018-06-01 23:30:06.941000,airbnb33561978,private_room,2,1,27,2,18
airbnb59d812058a46550354a962324597,https://www.airbnb.es/rooms/15651535,-5.98617828661035,37.39078659407703,2017-08-14 16:15:47.060000,2017-10-01 14:07:25.100000,airbnb21602996,private_room,1,2,13,1,36
airbnb59d812058a46550354a962324598,https://www.airbnb.es/rooms/23624056,-5.986071271670357,37.39084037855346,2018-05-25 13:18:15.674000,2018-06-01 23:31:03.876000,airbnb162276249,entire_home,2,4,1,3,120
airbnb59d812058a46550354a962324599,https://www.airbnb.es/rooms/18278464,-5.986308495410412,37.390683329691264,2017-08-14 16:15:42.089000,2018-09-22 03:45:42.708000,airbnb29918420,private_room,1,2,19,1,
airbnb59d812058a46550354a962324600,https://www.airbnb.es/rooms/25480317,-5.98626967282336,37.39053485715938,2018-08-27 05:07:34.445000,2018-09-22 02:55:46.106000,airbnb670391,entire_home,2,4,3,3,
airbnb59d812058a46550354a962324601,https://www.airbnb.es/rooms/18327310,-5.986282381364549,37.39049392446086,2017-08-14 16:15:52.123000,2018-09-22 03:04:48.735000,airbnb51048225,entire_home,2,4,27,2,
airbnb59d812058a46550354a962324602,https://www.airbnb.es/rooms/13312169,-5.9863070160048215,37.39039369694149,2017-08-14 16:15:52.123000,2018-09-25 00:02:03.799000,airbnb51048225,entire_home,2,4,101,2,
airbnb59d812058a46550354a962324603,https://www.airbnb.es/rooms/22306107,-5.986183758571138,37.39026420088875,2018-05-25 13:17:26.233000,2018-09-25 00:04:11.533000,airbnb162933794,entire_home,2,4,20,2,
airbnb59d812058a46550354a962324604,https://www.airbnb.es/rooms/702998,-5.986042476403571,37.39026400229235,2018-05-25 13:17:17.216000,2018-09-25 00:01:55.893000,airbnb3609455,entire_home,2,4,64,3,
airbnb59d812058a46550354a962324605,https://www.airbnb.es/rooms/4079455,-5.985919713774259,37.39009889461415,2017-08-14 16:16:04.094000,2018-09-25 00:11:56.510000,airbnb21160136,entire_home,2,4,81,2,
airbnb59d812058a46550354a962324606,https://www.airbnb.es/rooms/18037202,-5.986052170788298,37.39020628836375,2017-08-14 16:15:37.986000,2018-09-25 00:01:42.522000,airbnb20234432,entire_home,1,3,78,1,
airbnb59d812058a46550354a962324607,https://www.airbnb.es/rooms/15204938,-5.986,37.39,2017-08-14 16:15:47.060000,2018-09-25 01:00:32.482000,airbnb31420918,entire_home,2,4,94,2,
airbnb59d812058a46550354a962324608,https://www.airbnb.es/rooms/22650994,-5.986,37.39,2018-05-05 16:31:59.045000,2018-09-25 02:04:10.080000,airbnb94842213,entire_home,2,2,35,2,
airbnb59d812058a46550354a962324609,https://www.airbnb.es/rooms/21195117,-5.986,37.39,2018-05-05 16:32:05.192000,2018-09-25 00:13:52.872000,airbnb150247554,entire_home,4,8,16,2,
airbnb59d812058a46550354a962324610,https://www.airbnb.es/rooms/2747264,-5.985952897530626,37.3899973831147,2017-08-14 16:16:08.724000,2018-09-25 01:00:56.027000,airbnb5346471,private_room,0,2,53,2,
airbnb59d812058a46550354a962324611,https://www.airbnb.es/rooms/19260748,-5.9859098174933125,37.39001235009577,2017-08-14 16:15:56.232000,2018-09-25 02:04:23.241000,airbnb134864103,entire_home,0,4,6,2,
airbnb59d812058a46550354a962324612,https://www.airbnb.es/rooms/6441542,-5.9863880697623255,37.389605446619086,2017-08-14 16:16:21.735000,2017-10-01 14:08:11.416000,airbnb13033398,shared_room,1,5,2,1,15
airbnb59d812058a46550354a962324613,https://www.airbnb.es/rooms/17134049,-5.986557302664036,37.389725666245084,2018-05-25 13:17:01.549000,2018-09-25 00:01:20.458000,airbnb30012002,private_room,1,1,49,3,
airbnb59d812058a46550354a962324614,https://www.airbnb.es/rooms/23448196,-5.98649294406711,37.389834250602554,2018-05-25 13:17:17.217000,2018-09-25 00:04:00.737000,airbnb860055,entire_home,6,12,18,3,
airbnb59d812058a46550354a962324615,https://www.airbnb.es/rooms/22783258,-5.986296883699894,37.38995771659719,2018-05-25 13:17:19.861000,2018-09-25 00:02:59.053000,airbnb1379382,entire_home,4,7,4,3,
airbnb59d812058a46550354a962324616,https://www.airbnb.es/rooms/22420660,-5.986717807290324,37.39012246996578,2018-05-25 13:17:17.216000,2018-09-25 02:03:34.544000,airbnb162933794,entire_home,2,4,26,2,
airbnb59d812058a46550354a962324617,https://www.airbnb.es/rooms/17940792,-5.986567883063962,37.39002746398355,2017-08-14 16:16:08.724000,2017-09-05 09:53:52.701000,airbnb123072579,entire_home,1,3,7,2,46
airbnb59d812058a46550354a962324618,https://www.airbnb.es/rooms/8960326,-5.986627035172061,37.38992018312608,2017-08-14 16:15:59.939000,2018-09-25 00:02:13.538000,airbnb1401256,entire_home,0,4,105,2,
airbnb59d812058a46550354a962324619,https://www.airbnb.es/rooms/4093322,-5.986884835020627,37.390004483058405,2017-08-14 16:16:21.735000,2018-09-25 00:05:10.153000,airbnb5346471,private_room,0,2,6,2,
airbnb59d812058a46550354a962324620,https://www.airbnb.es/rooms/94187,-5.986761475399319,37.390115231253134,2017-08-14 16:16:04.094000,2018-09-25 00:04:36.265000,airbnb503692,private_room,0,14,68,1,
airbnb59d812058a46550354a962324621,https://www.airbnb.es/rooms/1511255,-5.986903397228984,37.390085242940735,2018-05-25 13:17:37.252000,2018-06-01 23:20:44.381000,airbnb8064579,private_room,1,2,1,25,24
airbnb59d812058a46550354a962324622,https://www.airbnb.es/rooms/1962902,-5.987,37.39,2017-08-14 16:14:48.052000,2018-09-25 03:11:19.893000,airbnb4653961,entire_home,1,2,38,3,
airbnb59d812058a46550354a962324623,https://www.airbnb.es/rooms/3247106,-5.987,37.39,2017-08-14 16:15:00.944000,2018-09-25 00:58:11.550000,airbnb4653961,entire_home,0,6,44,3,
airbnb59d812058a46550354a962324624,https://www.airbnb.es/rooms/16530343,-5.987,37.39,2017-08-14 16:16:12.923000,2018-06-01 23:18:38.015000,airbnb2950570,entire_home,3,6,1,3,144
airbnb59d812058a46550354a962324625,https://www.airbnb.es/rooms/880039,-5.987,37.39,2017-08-14 16:16:17.402000,2018-09-24 23:59:09.739000,airbnb4653961,entire_home,0,6,14,3,
airbnb59d812058a46550354a962324626,https://www.airbnb.es/rooms/27591000,-5.987012844345961,37.390005349569954,2018-08-28 03:21:46.755000,2018-09-25 00:02:40.427000,airbnb123493257,entire_home,1,2,8,2,
airbnb59d812058a46550354a962324627,https://www.airbnb.es/rooms/14877353,-5.987145828240021,37.38950449588609,2017-08-14 16:15:47.060000,2018-06-01 23:16:56.523000,airbnb38671289,private_room,0,2,25,2,38
airbnb59d812058a46550354a962324628,https://www.airbnb.es/rooms/6583578,-5.98660028821696,37.38980172451736,2017-08-14 16:15:52.123000,2018-09-25 02:03:27.281000,airbnb34435538,private_room,1,2,138,1,
airbnb59d812058a46550354a962324629,https://www.airbnb.es/rooms/23918794,-5.986661370173189,37.38952836098678,2018-05-25 13:17:19.861000,2018-09-25 00:59:03.144000,airbnb179785468,entire_home,0,2,4,2,
airbnb59d812058a46550354a962324630,https://www.airbnb.es/rooms/19100979,-5.987024706441799,37.38920696753348,2017-08-14 16:15:52.123000,2017-09-05 09:54:30.257000,airbnb33561978,private_room,1,2,3,1,21
airbnb59d812058a46550354a962324631,https://www.airbnb.es/rooms/19209054,-5.987015898468806,37.38911542922706,2017-08-14 16:15:52.123000,2018-06-01 23:09:41.972000,airbnb51048225,entire_home,1,4,34,2,54
airbnb59d812058a46550354a962324632,https://www.airbnb.es/rooms/11959197,-5.9869869248848016,37.38898958227588,2017-08-14 16:15:18.837000,2017-09-05 09:54:47.957000,airbnb63871257,entire_home,1,4,34,2,99
airbnb59d812058a46550354a962324633,https://www.airbnb.es/rooms/8662286,-5.986909072806184,37.38891619700115,2017-08-14 16:15:05.094000,2018-09-25 02:02:58.862000,airbnb503692,entire_home,0,12,13,1,
airbnb59d812058a46550354a962324634,https://www.airbnb.es/rooms/15185372,-5.986880906249046,37.38884575094219,2017-08-14 16:14:56.727000,2018-09-25 00:58:35.251000,airbnb89331773,entire_home,4,8,38,3,
airbnb59d812058a46550354a962324635,https://www.airbnb.es/rooms/2760276,-5.986654361941266,37.3891042061769,2017-08-14 16:16:17.402000,2018-09-25 00:58:24.254000,airbnb5346471,private_room,0,2,40,3,
airbnb59d812058a46550354a962324636,https://www.airbnb.es/rooms/23866833,-5.986595578632665,37.3891350796332,2018-05-05 16:31:42.351000,2018-09-25 00:58:06.447000,airbnb35659996,entire_home,2,4,29,1,
airbnb59d812058a46550354a962324637,https://www.airbnb.es/rooms/11570926,-5.986602057409737,37.38900766694335,2017-08-14 16:15:37.986000,2018-09-25 01:00:04.630000,airbnb11263265,entire_home,2,4,77,2,
airbnb59d812058a46550354a962324638,https://www.airbnb.es/rooms/11349943,-5.98655218026813,37.38902480445391,2017-08-14 16:16:21.735000,2017-10-01 14:10:01.478000,airbnb4347376,private_room,1,2,10,2,40
airbnb59d812058a46550354a962324639,https://www.airbnb.es/rooms/13821380,-5.986285583751277,37.38942426776894,2017-08-14 16:15:37.986000,2018-09-25 02:02:29.224000,airbnb38176539,entire_home,3,6,163,2,
airbnb59d812058a46550354a962324640,https://www.airbnb.es/rooms/23232234,-5.986068417531937,37.38939353991899,2018-05-25 13:17:17.217000,2018-09-25 00:58:30.423000,airbnb860055,entire_home,3,6,26,3,
airbnb59d812058a46550354a962324641,https://www.airbnb.es/rooms/13888804,-5.986047823669864,37.38938774935104,2017-08-14 16:15:52.123000,2017-10-01 14:10:08.111000,airbnb51048225,entire_home,0,2,43,2,40
airbnb59d812058a46550354a962324642,https://www.airbnb.es/rooms/2677533,-5.986023139741715,37.38911966297162,2017-08-14 16:15:42.089000,2018-09-25 00:59:45.781000,airbnb12061910,entire_home,2,4,224,2,
airbnb59d812058a46550354a962324643,https://www.airbnb.es/rooms/17978522,-5.986,37.389,2017-08-14 16:14:44.027000,2018-09-25 03:11:05.963000,airbnb123493257,entire_home,2,4,107,2,
airbnb59d812058a46550354a962324644,https://www.airbnb.es/rooms/15404920,-5.986,37.389,2017-08-14 16:15:05.094000,2018-09-25 00:59:35.018000,airbnb96135746,entire_home,2,4,21,2,
airbnb59d812058a46550354a962324645,https://www.airbnb.es/rooms/15403764,-5.986,37.389,2017-08-14 16:15:05.094000,2018-09-25 03:09:46.493000,airbnb96135746,entire_home,1,2,25,2,
airbnb59d812058a46550354a962324646,https://www.airbnb.es/rooms/15282839,-5.986,37.389,2017-08-14 16:16:17.402000,2018-09-25 02:02:52.801000,airbnb96135746,entire_home,2,4,18,2,
airbnb59d812058a46550354a962324647,https://www.airbnb.es/rooms/23578764,-5.986,37.389,2018-05-05 16:31:15.358000,2018-09-25 00:59:21.106000,airbnb33264626,entire_home,2,3,63,1,
airbnb59d812058a46550354a962324648,https://www.airbnb.es/rooms/23290162,-5.986,37.389,2018-05-05 16:31:42.351000,2018-09-25 00:59:52.447000,airbnb113546787,entire_home,2,4,13,1,
