Distritos de Sevilla;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
Bellavista - La Palmera;8,07;8,07;8,04;8,06;8,10;7,94;8,12;8,04;8,23;8,32;8,41;8,34
Casco Antiguo;9,61;8,30;8,90;9,50;9,80;9,90;9,55;8,61;9,32;9,10;8,73;8,85
Cerro - Amate;6,49;6,13;6,21;6,32;5,94;6,08;6,35;6,30;7,10;6,83;7,10;7,28
Este - Alcosa- Torreblanca;6,73;6,78;6,78;6,75;6,64;7,41;7,58;7,46;7,51;7,47;7,52;7,52
Los Remedios;9,20;8,86;8,53;7,82;8,52;9,05;9,20;9,09;8,41;8,92;9,48;9,89
Macarena;8,00;8,01;8,21;8,34;8,39;8,34;8,31;8,31;8,27;8,33;8,51;8,63
Nervión;8,07;6,49;6,72;7,67;8,27;8,32;8,36;8,65;8,46;8,34;8,71;9,05
Norte ;;7,08;6,94;6,64;;7,44;7,28;7,21;7,40;7,40;7,03;
San Pablo - Santa Justa;7,91;7,99;8,08;8,11;8,69;8,31;8,47;8,67;8,78;8,71;8,76;8,71
Sur;8,01;7,87;8,08;8,55;8,53;8,41;8,36;8,41;8,26;7,46;7,85;8,38
Triana;9,53;9,60;9,81;10,15;9,89;9,95;9,74;9,80;9,88;10,02;10,07;10,22
