Distritos de Sevilla;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
Bellavista - La Palmera;8,10 €;8,20 €;8,40 €;8,50 €;8,10 €;8,20 €;8,20 €;8,20 €;8,00 €;7,70 €;7,80 €;7,50 €
Casco Antiguo;11,60 €;11,80 €;11,70 €;11,70 €;11,60 €;11,40 €;11,10 €;10,90 €;10,90 €;10,80 €;10,70 €;10,40 €
Cerro - Amate;7,90 €;8,00 €;7,90 €;8,10 €;8,20 €;8,20 €;8,00 €;8,10 €;7,90 €;7,80 €;7,80 €;7,70 €
La Palmera-Los Bermejales;9,10 €;9,20 €;9,20 €;9,30 €;9,40 €;9,10 €;8,80 €;8,80 €;8,80 €;8,80 €;8,80 €;8,90 €
Los Remedios;10,60 €;10,00 €;10,00 €;10,60 €;11,10 €;10,80 €;10,40 €;10,30 €;10,00 €;10,00 €;10,00 €;10,00 €
Macarena;9,40 €;9,30 €;9,40 €;9,60 €;9,60 €;9,30 €;9,20 €;9,00 €;8,90 €;8,70 €;8,70 €;8,60 €
Nervión;10,30 €;10,80 €;10,70 €;10,70 €;10,70 €;10,40 €;10,00 €;10,00 €;10,00 €;10,30 €;10,10 €;10,00 €
Parque Alcosa;;;;;;;;;;;;
Pino Montano;;;;;;;;;;;7,00 €;6,90 €
Prado S.S-Felipe II-Bueno Monreal;9,90 €;10,30 €;10,60 €;10,60 €;10,80 €;10,30 €;10,30 €;9,90 €;10,00 €;10,00 €;10,10 €;9,90 €
San jerónimo;;;;;;;;;;;;
San Pablo;8,60 €;9,10 €;9,30 €;9,40 €;8,90 €;9,20 €;9,30 €;9,10 €;9,10 €;8,60 €;8,50 €;8,70 €
Santa Clara;;;;;;;;;;;;
San Pablo - Santa Justa;8,70 €;8,70 €;9,00 €;9,30 €;8,90 €;8,90 €;8,80 €;9,10 €;9,00 €;8,90 €;8,70 €;8,50 €
Sevilla Este;8,40 €;8,70 €;8,70 €;8,70 €;8,60 €;7,70 €;7,80 €;7,90 €;8,00 €;8,10 €;7,90 €;7,90 €
Torreblanca;;;;;;;;;;;;
Triana;10,70 €;11,30 €;11,30 €;11,20 €;11,20 €;11,00 €;10,80 €;10,60 €;10,40 €;10,30 €;10,20 €;10,00 €
